SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22024,1642024,0022400100,"Oct 27, 2024",OKC vs. ATL,W,2,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,3,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022400887,"Mar 04, 2025",PHI @ MIN,L,4,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,3,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022400900,"Mar 06, 2025",PHI @ BOS,L,10,1,4,0.25,0,2,0.0,1,1,1.0,3,0,3,1,0,2,0,0,3,10,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022400924,"Mar 09, 2025",PHI vs. UTA,W,15,2,3,0.667,1,2,0.5,1,2,0.5,2,7,9,0,3,1,1,1,6,29,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022400928,"Mar 10, 2025",PHI @ ATL,L,18,2,5,0.4,0,3,0.0,1,2,0.5,0,3,3,0,2,0,1,3,5,-8,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022400947,"Mar 12, 2025",PHI @ TOR,L,18,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,0,0,3,1,3,2,14,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022400959,"Mar 14, 2025",PHI vs. IND,L,19,2,5,0.4,1,4,0.25,0,0,0.0,0,3,3,0,1,2,1,2,5,0,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022400976,"Mar 16, 2025",PHI @ DAL,W,17,2,2,1.0,2,2,1.0,0,0,0.0,0,2,2,1,1,0,0,3,6,5,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022400985,"Mar 17, 2025",PHI @ HOU,L,13,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,0,0,0,0,1,6,8,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022401002,"Mar 19, 2025",PHI @ OKC,L,24,3,8,0.375,3,7,0.429,2,2,1.0,0,5,5,0,0,0,1,2,11,-30,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022401031,"Mar 23, 2025",PHI @ ATL,L,21,3,4,0.75,1,2,0.5,1,1,1.0,1,2,3,1,1,0,0,2,8,2,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022401087,"Mar 30, 2025",PHI vs. TOR,L,21,1,4,0.25,0,3,0.0,0,0,0.0,1,5,6,0,1,0,0,0,2,-1,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022401098,"Apr 01, 2025",PHI @ NYK,L,16,3,4,0.75,2,3,0.667,2,2,1.0,1,3,4,1,0,0,0,3,10,-4,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022401145,"Apr 07, 2025",PHI @ MIA,L,6,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,0,0,0,0,1,3,-12,1,2024-25,Regular Season,1642024,Alex Reese
22024,1642024,0022401157,"Apr 09, 2025",PHI @ WAS,W,11,1,2,0.5,1,2,0.5,1,2,0.5,0,2,2,0,1,2,1,0,4,0,1,2024-25,Regular Season,1642024,Alex Reese
