SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22015,202695,0021500013,"Oct 28, 2015",SAS @ OKC,L,35,13,22,0.591,1,3,0.333,5,5,1.0,1,7,8,0,3,2,3,3,32,4,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500028,"Oct 30, 2015",SAS vs. BKN,W,26,6,16,0.375,0,2,0.0,4,4,1.0,1,9,10,1,2,1,4,3,16,16,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500040,"Nov 01, 2015",SAS @ BOS,W,34,8,18,0.444,1,3,0.333,2,2,1.0,0,5,5,2,2,1,2,2,19,3,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500048,"Nov 02, 2015",SAS @ NYK,W,36,8,16,0.5,1,4,0.25,1,1,1.0,2,12,14,1,2,4,2,4,18,12,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500061,"Nov 04, 2015",SAS @ WAS,L,35,10,22,0.455,1,4,0.25,2,2,1.0,3,6,9,0,1,0,1,4,23,-12,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500090,"Nov 07, 2015",SAS vs. CHA,W,34,10,16,0.625,2,4,0.5,1,2,0.5,0,4,4,2,2,0,0,3,23,11,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500103,"Nov 09, 2015",SAS @ SAC,W,32,10,13,0.769,3,4,0.75,1,2,0.5,0,3,3,2,2,2,0,2,24,31,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500123,"Nov 11, 2015",SAS @ POR,W,35,7,14,0.5,1,5,0.2,5,5,1.0,0,7,7,3,1,0,1,3,20,2,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500156,"Nov 16, 2015",SAS vs. POR,W,31,8,15,0.533,3,5,0.6,0,1,0.0,2,7,9,3,2,2,0,1,19,4,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500172,"Nov 18, 2015",SAS vs. DEN,W,37,8,16,0.5,3,4,0.75,1,1,1.0,1,7,8,3,2,1,0,2,20,8,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500182,"Nov 20, 2015",SAS @ NOP,L,37,9,20,0.45,3,5,0.6,1,2,0.5,0,5,5,2,1,1,0,2,22,-8,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500195,"Nov 21, 2015",SAS vs. MEM,W,40,5,15,0.333,3,6,0.5,6,8,0.75,2,5,7,3,0,1,0,1,19,3,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500207,"Nov 23, 2015",SAS vs. PHX,W,37,11,18,0.611,1,2,0.5,1,1,1.0,3,10,13,4,4,1,3,1,24,7,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500224,"Nov 25, 2015",SAS vs. DAL,W,40,9,16,0.563,4,7,0.571,4,4,1.0,4,4,8,5,2,0,2,0,26,4,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500235,"Nov 27, 2015",SAS @ DEN,W,32,11,18,0.611,2,4,0.5,1,1,1.0,1,6,7,6,4,5,2,1,25,18,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500242,"Nov 28, 2015",SAS vs. ATL,W,29,6,11,0.545,3,3,1.0,7,7,1.0,1,6,7,2,1,1,2,0,22,32,1,2015-16,202695,Kawhi Leonard
22015,202695,0021500257,"Nov 30, 2015",SAS @ CHI,L,40,9,21,0.429,0,3,0.0,7,9,0.778,3,5,8,3,2,0,2,4,25,14,1,2015-16,202695,Kawhi Leonard
