SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22018,1629026,0021800009,"Oct 17, 2018",NOP @ HOU,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800075,"Oct 27, 2018",NOP vs. UTA,L,13,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,3,0,14,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800116,"Nov 01, 2018",NOP @ POR,L,3,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,5,4,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800159,"Nov 07, 2018",NOP vs. CHI,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800176,"Nov 10, 2018",NOP vs. PHX,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,3,0,-2,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800312,"Nov 28, 2018",NOP vs. WAS,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800393,"Dec 10, 2018",NOP @ BOS,L,3,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800462,"Dec 19, 2018",NOP @ MIL,L,7,1,3,0.333,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,-6,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800478,"Dec 21, 2018",NOP @ LAL,L,11,1,3,0.333,0,0,0.0,0,0,0.0,0,3,3,0,1,0,1,2,2,2,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800528,"Dec 29, 2018",NOP vs. HOU,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800595,"Jan 07, 2019",NOP vs. MEM,W,9,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,2,0,-3,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800612,"Jan 09, 2019",NOP vs. CLE,W,7,1,2,0.5,0,1,0.0,2,2,1.0,1,0,1,0,0,0,1,0,4,-14,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800717,"Jan 24, 2019",NOP @ OKC,L,18,1,4,0.25,0,1,0.0,0,0,0.0,1,3,4,1,0,0,0,2,2,9,1,2018-19,Regular Season,1629026,Kenrich Williams
22018,1629026,0021800730,"Jan 26, 2019",NOP vs. SAS,L,6,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,9,1,2018-19,Regular Season,1629026,Kenrich Williams
