SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22024,1642352,0022400316,"Dec 02, 2024",MIA @ BOS,L,7,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400321,"Dec 04, 2024",MIA vs. LAL,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,6,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400396,"Dec 23, 2024",MIA vs. BKN,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-5,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400463,"Jan 02, 2025",MIA vs. IND,L,12,2,2,1.0,1,1,1.0,0,0,0.0,0,6,6,1,0,3,1,1,5,11,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400481,"Jan 04, 2025",MIA vs. UTA,L,20,3,6,0.5,0,2,0.0,1,4,0.25,1,3,4,1,1,1,1,2,7,-9,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400508,"Jan 07, 2025",MIA @ GSW,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400536,"Jan 11, 2025",MIA @ POR,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400579,"Jan 17, 2025",MIA vs. DEN,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400592,"Jan 19, 2025",MIA vs. SAS,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-2,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022400624,"Jan 23, 2025",MIA @ MIL,L,4,1,2,0.5,0,0,0.0,0,2,0.0,1,1,2,0,0,0,0,0,2,-3,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022401076,"Mar 29, 2025",MIA @ PHI,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022401092,"Mar 31, 2025",MIA @ WAS,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022401106,"Apr 02, 2025",MIA @ BOS,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,3,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022401145,"Apr 07, 2025",MIA vs. PHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022401177,"Apr 11, 2025",MIA @ NOP,W,7,4,5,0.8,0,0,0.0,2,2,1.0,1,1,2,0,1,0,0,1,10,5,1,2024-25,Regular Season,1642352,Keshad Johnson
22024,1642352,0022401190,"Apr 13, 2025",MIA vs. WAS,L,28,7,9,0.778,2,3,0.667,1,1,1.0,3,5,8,1,2,0,1,4,17,-1,1,2024-25,Regular Season,1642352,Keshad Johnson
42024,1642352,0042400101,"Apr 20, 2025",MIA @ CLE,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2024-25,Playoffs,1642352,Keshad Johnson
42024,1642352,0042400104,"Apr 28, 2025",MIA vs. CLE,L,7,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,-1,1,2024-25,Playoffs,1642352,Keshad Johnson
22025,1642352,0022500094,"Oct 24, 2025",MIA @ MEM,W,8,2,5,0.4,1,3,0.333,0,0,0.0,0,3,3,0,1,0,0,0,5,-10,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500124,"Oct 28, 2025",MIA vs. CHA,W,3,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500178,"Nov 05, 2025",MIA @ DEN,L,9,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,0,1,0,1,2,0,-1,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500039,"Nov 14, 2025",MIA @ NYK,L,2,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-4,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500244,"Nov 17, 2025",MIA vs. NYK,W,2,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,0,0,-3,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500051,"Nov 21, 2025",MIA @ CHI,W,29,3,10,0.3,2,5,0.4,6,6,1.0,4,7,11,1,1,2,1,3,14,24,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500275,"Nov 23, 2025",MIA @ PHI,W,19,2,5,0.4,0,1,0.0,0,0,0.0,1,0,1,0,0,1,1,1,4,-3,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500286,"Nov 24, 2025",MIA vs. DAL,W,18,3,4,0.75,1,2,0.5,0,1,0.0,2,1,3,0,0,0,0,2,7,-2,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500354,"Dec 06, 2025",MIA vs. SAC,L,14,1,2,0.5,0,0,0.0,1,4,0.25,1,4,5,0,0,0,0,2,3,9,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022501227,"Dec 15, 2025",MIA vs. TOR,L,13,1,3,0.333,0,1,0.0,2,2,1.0,2,0,2,0,2,0,0,0,4,-1,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500381,"Dec 19, 2025",MIA @ BOS,L,1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,6,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500414,"Dec 23, 2025",MIA vs. TOR,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2025-26,Regular Season,1642352,Keshad Johnson
22025,1642352,0022500436,"Dec 27, 2025",MIA vs. IND,W,2,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,7,1,2025-26,Regular Season,1642352,Keshad Johnson
