SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22018,1628989,0021800007,"Oct 17, 2018",ATL @ NYK,L,5,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,4,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800020,"Oct 19, 2018",ATL @ MEM,L,13,1,3,0.333,0,2,0.0,1,1,1.0,0,2,2,2,0,0,0,1,3,5,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800036,"Oct 21, 2018",ATL @ CLE,W,25,3,8,0.375,3,5,0.6,0,0,0.0,3,7,10,4,2,1,0,3,9,18,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800052,"Oct 24, 2018",ATL vs. DAL,W,18,1,3,0.333,0,1,0.0,1,2,0.5,0,4,4,1,0,0,2,0,3,-3,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800076,"Oct 27, 2018",ATL vs. CHI,L,17,2,5,0.4,2,4,0.5,0,0,0.0,1,5,6,2,1,0,0,0,6,4,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800088,"Oct 29, 2018",ATL @ PHI,L,17,0,3,0.0,0,2,0.0,2,2,1.0,0,3,3,1,0,1,1,1,2,-5,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800097,"Oct 30, 2018",ATL @ CLE,L,15,5,6,0.833,3,4,0.75,0,0,0.0,1,0,1,0,0,0,2,0,13,5,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800114,"Nov 01, 2018",ATL vs. SAC,L,1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,-2,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800128,"Nov 03, 2018",ATL vs. MIA,W,29,5,9,0.556,2,5,0.4,0,0,0.0,0,1,1,3,1,0,1,3,12,1,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800149,"Nov 06, 2018",ATL @ CHA,L,32,2,5,0.4,0,2,0.0,3,3,1.0,1,4,5,3,3,1,1,1,7,-7,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800169,"Nov 09, 2018",ATL vs. DET,L,29,1,5,0.2,0,2,0.0,0,0,0.0,0,6,6,3,0,0,0,3,2,-2,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800189,"Nov 11, 2018",ATL @ LAL,L,12,0,6,0.0,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,3,0,-11,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800201,"Nov 13, 2018",ATL @ GSW,L,14,1,4,0.25,0,0,0.0,0,0,0.0,0,2,2,0,1,0,2,0,2,0,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800214,"Nov 15, 2018",ATL @ DEN,L,28,4,10,0.4,2,6,0.333,0,1,0.0,1,2,3,1,1,0,2,1,10,-20,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800226,"Nov 17, 2018",ATL @ IND,L,29,2,9,0.222,1,4,0.25,0,1,0.0,0,3,3,3,1,1,2,2,5,-15,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800243,"Nov 19, 2018",ATL vs. LAC,L,14,3,6,0.5,2,3,0.667,0,0,0.0,0,1,1,0,0,0,1,5,8,9,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800254,"Nov 21, 2018",ATL vs. TOR,L,25,4,9,0.444,2,4,0.5,0,0,0.0,3,1,4,2,0,1,0,0,10,4,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800268,"Nov 23, 2018",ATL vs. BOS,L,23,2,5,0.4,0,3,0.0,0,0,0.0,1,2,3,3,0,1,0,4,4,-26,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800288,"Nov 25, 2018",ATL vs. CHA,W,22,1,2,0.5,1,1,1.0,1,2,0.5,2,1,3,5,2,0,1,3,4,-7,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800302,"Nov 27, 2018",ATL @ MIA,W,19,3,7,0.429,2,4,0.5,0,0,0.0,1,0,1,1,0,0,1,1,8,0,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800306,"Nov 28, 2018",ATL @ CHA,L,34,4,9,0.444,4,7,0.571,0,0,0.0,2,3,5,4,0,0,2,3,12,-1,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800325,"Nov 30, 2018",ATL @ OKC,L,25,2,3,0.667,1,2,0.5,0,0,0.0,1,5,6,4,2,0,3,1,5,0,1,2018-19,Regular Season,1628989,Kevin Huerter
22018,1628989,0021800344,"Dec 03, 2018",ATL vs. GSW,L,27,4,6,0.667,0,2,0.0,2,2,1.0,2,3,5,4,1,1,3,3,10,1,1,2018-19,Regular Season,1628989,Kevin Huerter
