SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22015,203114,0021500012,"Oct 28, 2015",MIL vs. NYK,L,35,4,15,0.267,3,6,0.5,0,0,0.0,1,1,2,0,0,0,2,4,11,-12,1,2015-16,203114,Khris Middleton
22015,203114,0021500027,"Oct 30, 2015",MIL vs. WAS,L,39,6,14,0.429,1,4,0.25,5,6,0.833,0,3,3,5,1,0,1,4,18,1,1,2015-16,203114,Khris Middleton
22015,203114,0021500042,"Nov 01, 2015",MIL @ TOR,L,29,3,10,0.3,0,2,0.0,2,2,1.0,0,2,2,0,0,0,2,5,8,-11,1,2015-16,203114,Khris Middleton
22015,203114,0021500047,"Nov 02, 2015",MIL @ BKN,W,39,6,12,0.5,2,5,0.4,3,4,0.75,1,4,5,3,1,1,0,2,17,0,1,2015-16,203114,Khris Middleton
22015,203114,0021500065,"Nov 04, 2015",MIL vs. PHI,W,36,7,20,0.35,3,7,0.429,4,4,1.0,1,2,3,3,1,0,1,2,21,7,1,2015-16,203114,Khris Middleton
22015,203114,0021500079,"Nov 06, 2015",MIL @ NYK,W,38,3,9,0.333,1,3,0.333,6,6,1.0,0,5,5,2,1,0,2,5,13,14,1,2015-16,203114,Khris Middleton
22015,203114,0021500089,"Nov 07, 2015",MIL vs. BKN,W,33,4,6,0.667,3,3,1.0,3,5,0.6,0,9,9,7,1,0,1,2,14,11,1,2015-16,203114,Khris Middleton
22015,203114,0021500110,"Nov 10, 2015",MIL vs. BOS,L,37,3,12,0.25,2,6,0.333,5,5,1.0,0,2,2,2,0,1,1,1,13,-1,1,2015-16,203114,Khris Middleton
22015,203114,0021500121,"Nov 11, 2015",MIL @ DEN,L,42,5,13,0.385,3,5,0.6,0,0,0.0,0,1,1,2,4,0,2,2,13,5,1,2015-16,203114,Khris Middleton
22015,203114,0021500141,"Nov 14, 2015",MIL vs. CLE,W,42,4,13,0.308,1,2,0.5,2,2,1.0,0,4,4,1,3,0,1,4,11,6,1,2015-16,203114,Khris Middleton
22015,203114,0021500158,"Nov 17, 2015",MIL @ WAS,L,27,6,12,0.5,2,6,0.333,0,0,0.0,0,2,2,0,1,0,1,4,14,-16,1,2015-16,203114,Khris Middleton
22015,203114,0021500176,"Nov 19, 2015",MIL @ CLE,L,32,4,10,0.4,0,1,0.0,7,7,1.0,0,1,1,4,1,0,2,6,15,5,1,2015-16,203114,Khris Middleton
22015,203114,0021500190,"Nov 21, 2015",MIL @ IND,L,28,3,11,0.273,1,4,0.25,1,2,0.5,0,2,2,1,2,1,1,1,8,-13,1,2015-16,203114,Khris Middleton
22015,203114,0021500205,"Nov 23, 2015",MIL vs. DET,W,23,5,7,0.714,2,2,1.0,4,5,0.8,0,3,3,4,1,0,1,2,16,10,1,2015-16,203114,Khris Middleton
22015,203114,0021500221,"Nov 25, 2015",MIL vs. SAC,L,24,8,15,0.533,5,8,0.625,0,1,0.0,1,1,2,6,1,0,1,5,21,-7,1,2015-16,203114,Khris Middleton
22015,203114,0021500228,"Nov 27, 2015",MIL @ ORL,L,34,4,7,0.571,3,5,0.6,4,4,1.0,0,3,3,4,3,0,1,1,15,-16,1,2015-16,203114,Khris Middleton
22015,203114,0021500246,"Nov 29, 2015",MIL @ CHA,L,37,7,18,0.389,4,9,0.444,1,1,1.0,1,4,5,6,3,0,3,3,19,7,1,2015-16,203114,Khris Middleton
22015,203114,0021500258,"Nov 30, 2015",MIL vs. DEN,W,31,3,9,0.333,3,5,0.6,1,1,1.0,0,1,1,5,0,0,2,2,10,6,1,2015-16,203114,Khris Middleton
22015,203114,0021500275,"Dec 02, 2015",MIL @ SAS,L,30,6,11,0.545,1,2,0.5,3,3,1.0,0,3,3,3,0,0,2,2,16,-18,1,2015-16,203114,Khris Middleton
22015,203114,0021500285,"Dec 04, 2015",MIL @ DET,L,34,6,15,0.4,3,7,0.429,6,6,1.0,0,5,5,3,0,0,1,3,21,-1,1,2015-16,203114,Khris Middleton
22015,203114,0021500295,"Dec 05, 2015",MIL vs. NYK,W,32,2,10,0.2,1,1,1.0,2,3,0.667,1,3,4,3,0,0,0,1,7,18,1,2015-16,203114,Khris Middleton
22015,203114,0021500310,"Dec 07, 2015",MIL vs. POR,W,41,4,13,0.308,1,6,0.167,5,6,0.833,0,1,1,3,2,1,1,5,14,2,1,2015-16,203114,Khris Middleton
22015,203114,0021500324,"Dec 09, 2015",MIL vs. LAC,L,39,3,9,0.333,1,3,0.333,2,3,0.667,0,6,6,2,1,0,4,5,9,-21,1,2015-16,203114,Khris Middleton
22015,203114,0021500337,"Dec 11, 2015",MIL @ TOR,L,43,8,15,0.533,3,4,0.75,7,8,0.875,0,3,3,3,0,0,1,3,26,-4,1,2015-16,203114,Khris Middleton
22015,203114,0021500351,"Dec 12, 2015",MIL vs. GSW,W,38,3,12,0.25,1,4,0.25,0,0,0.0,1,5,6,5,2,1,2,2,7,13,1,2015-16,203114,Khris Middleton
22015,203114,0021500370,"Dec 15, 2015",MIL @ LAL,L,34,6,16,0.375,2,4,0.5,2,2,1.0,0,2,2,4,2,0,1,0,16,-17,1,2015-16,203114,Khris Middleton
22015,203114,0021500382,"Dec 16, 2015",MIL @ LAC,L,41,4,11,0.364,1,5,0.2,6,6,1.0,2,3,5,6,1,1,1,3,15,-17,1,2015-16,203114,Khris Middleton
22015,203114,0021500397,"Dec 18, 2015",MIL @ GSW,L,38,6,16,0.375,2,9,0.222,2,2,1.0,0,2,2,4,2,0,2,0,16,-10,1,2015-16,203114,Khris Middleton
22015,203114,0021500406,"Dec 20, 2015",MIL @ PHX,W,40,10,17,0.588,2,6,0.333,4,4,1.0,0,3,3,7,2,0,3,4,26,17,1,2015-16,203114,Khris Middleton
22015,203114,0021500430,"Dec 23, 2015",MIL vs. PHI,W,31,8,9,0.889,2,2,1.0,3,4,0.75,1,4,5,6,2,0,0,2,21,16,1,2015-16,203114,Khris Middleton
22015,203114,0021500441,"Dec 26, 2015",MIL vs. TOR,L,37,7,16,0.438,5,8,0.625,1,1,1.0,0,3,3,7,0,0,2,3,20,-4,1,2015-16,203114,Khris Middleton
22015,203114,0021500464,"Dec 28, 2015",MIL @ DAL,L,36,6,13,0.462,0,3,0.0,3,3,1.0,0,6,6,1,0,0,5,5,15,-18,1,2015-16,203114,Khris Middleton
