SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,203935,0021500005,"Oct 28, 2015",BOS vs. PHI,W,32,3,8,0.375,3,6,0.5,4,4,1.0,0,2,2,5,2,1,1,3,13,22,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500024,"Oct 30, 2015",BOS vs. TOR,L,28,2,11,0.182,1,5,0.2,1,2,0.5,0,3,3,2,1,0,0,3,6,-6,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500040,"Nov 01, 2015",BOS vs. SAS,L,39,7,12,0.583,1,5,0.2,2,4,0.5,1,1,2,3,4,1,1,3,17,-1,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500116,"Nov 11, 2015",BOS vs. IND,L,21,1,6,0.167,0,4,0.0,6,8,0.75,1,0,1,2,1,0,1,4,8,-20,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500129,"Nov 13, 2015",BOS vs. ATL,W,30,2,10,0.2,1,5,0.2,0,0,0.0,0,3,3,3,0,0,3,1,5,0,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500149,"Nov 15, 2015",BOS @ OKC,W,34,9,14,0.643,3,5,0.6,5,8,0.625,2,6,8,3,1,1,1,3,26,7,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500154,"Nov 16, 2015",BOS @ HOU,W,30,1,11,0.091,0,6,0.0,2,4,0.5,1,8,9,6,5,0,5,3,4,30,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500168,"Nov 18, 2015",BOS vs. DAL,L,26,1,7,0.143,0,2,0.0,0,0,0.0,3,1,4,1,1,0,1,3,2,-10,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500179,"Nov 20, 2015",BOS vs. BKN,W,21,2,5,0.4,1,4,0.25,2,2,1.0,0,2,2,4,1,0,2,5,7,3,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500454,"Dec 27, 2015",BOS vs. NYK,W,13,2,6,0.333,1,2,0.5,1,1,1.0,1,2,3,1,0,0,0,2,6,-6,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500476,"Dec 30, 2015",BOS vs. LAL,L,11,2,6,0.333,0,2,0.0,0,0,0.0,1,1,2,1,1,1,0,0,4,5,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500495,"Jan 02, 2016",BOS vs. BKN,L,24,3,7,0.429,0,3,0.0,5,7,0.714,3,0,3,1,3,0,0,3,11,0,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500513,"Jan 04, 2016",BOS @ BKN,W,24,3,7,0.429,0,1,0.0,1,2,0.5,4,0,4,3,1,0,0,3,7,4,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500528,"Jan 06, 2016",BOS vs. DET,L,26,1,10,0.1,0,4,0.0,0,1,0.0,1,0,1,4,0,0,1,4,2,-1,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500537,"Jan 07, 2016",BOS @ CHI,L,30,3,11,0.273,2,6,0.333,2,2,1.0,2,3,5,2,2,0,0,3,10,7,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500560,"Jan 10, 2016",BOS @ MEM,L,24,2,9,0.222,0,2,0.0,0,0,0.0,4,2,6,3,5,0,2,4,4,-1,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500571,"Jan 12, 2016",BOS @ NYK,L,25,2,7,0.286,1,2,0.5,1,2,0.5,0,6,6,4,0,0,0,5,6,2,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500580,"Jan 13, 2016",BOS vs. IND,W,31,2,9,0.222,0,4,0.0,1,1,1.0,1,6,7,1,1,1,3,2,5,5,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500595,"Jan 15, 2016",BOS vs. PHX,W,33,4,12,0.333,1,5,0.2,1,2,0.5,3,8,11,11,2,2,3,2,10,9,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500604,"Jan 16, 2016",BOS @ WAS,W,24,4,9,0.444,0,3,0.0,5,5,1.0,1,3,4,3,1,0,3,5,13,-10,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500623,"Jan 18, 2016",BOS @ DAL,L,39,8,13,0.615,2,4,0.5,2,4,0.5,1,7,8,3,2,0,1,4,20,-3,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500633,"Jan 20, 2016",BOS @ TOR,L,24,2,5,0.4,0,2,0.0,2,2,1.0,0,4,4,4,1,0,1,4,6,5,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500646,"Jan 22, 2016",BOS vs. CHI,W,29,3,12,0.25,0,5,0.0,2,2,1.0,4,1,5,2,1,1,1,0,8,1,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500656,"Jan 24, 2016",BOS @ PHI,W,29,6,11,0.545,3,6,0.5,1,2,0.5,0,3,3,2,4,1,1,3,16,2,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500668,"Jan 25, 2016",BOS @ WAS,W,32,5,11,0.455,2,5,0.4,1,2,0.5,1,5,6,5,2,0,1,4,13,20,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500685,"Jan 27, 2016",BOS vs. DEN,W,28,0,5,0.0,0,2,0.0,4,4,1.0,0,2,2,3,3,0,0,2,4,11,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500698,"Jan 29, 2016",BOS vs. ORL,W,28,5,9,0.556,3,5,0.6,3,5,0.6,1,1,2,4,3,1,2,3,16,24,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500716,"Jan 31, 2016",BOS @ ORL,L,28,8,16,0.5,5,9,0.556,5,5,1.0,2,3,5,0,2,0,0,1,26,-2,1,2015-16,Regular Season,203935,Marcus Smart
22015,203935,0021500730,"Feb 02, 2016",BOS @ NYK,W,29,1,5,0.2,0,3,0.0,2,2,1.0,0,1,1,2,2,0,0,3,4,4,1,2015-16,Regular Season,203935,Marcus Smart
