SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22019,1629008,0021900067,"Oct 31, 2019",DEN @ NOP,L,21,5,8,0.625,1,3,0.333,4,6,0.667,1,3,4,1,0,0,1,2,15,1,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900079,"Nov 02, 2019",DEN @ ORL,W,7,1,2,0.5,0,0,0.0,1,2,0.5,1,3,4,0,0,0,1,0,3,0,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900102,"Nov 05, 2019",DEN vs. MIA,W,3,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,4,-1,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900123,"Nov 08, 2019",DEN vs. PHI,W,8,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-9,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900132,"Nov 10, 2019",DEN @ MIN,W,9,2,5,0.4,1,1,1.0,0,0,0.0,3,1,4,0,0,0,1,1,5,-6,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900150,"Nov 12, 2019",DEN vs. ATL,L,7,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-6,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900166,"Nov 14, 2019",DEN vs. BKN,W,4,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-4,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900186,"Nov 17, 2019",DEN @ MEM,W,13,0,4,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,2,2,4,0,13,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900222,"Nov 22, 2019",DEN vs. BOS,W,10,2,5,0.4,0,2,0.0,0,0,0.0,1,4,5,0,0,1,1,3,4,-9,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900238,"Nov 24, 2019",DEN vs. PHX,W,8,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,-7,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900317,"Dec 05, 2019",DEN @ NYK,W,5,2,4,0.5,2,3,0.667,0,0,0.0,0,3,3,1,0,0,2,1,6,-2,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900323,"Dec 06, 2019",DEN @ BOS,L,8,4,7,0.571,1,2,0.5,0,0,0.0,2,1,3,0,0,0,0,0,9,10,1,2019-20,Regular Season,1629008,Michael Porter Jr.
22019,1629008,0021900353,"Dec 10, 2019",DEN @ PHI,L,14,2,7,0.286,0,0,0.0,2,2,1.0,2,4,6,0,0,0,0,2,6,-9,1,2019-20,Regular Season,1629008,Michael Porter Jr.
