SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22021,1630540,0022100018,"Oct 22, 2021",NYK @ ORL,W,3,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-7,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100036,"Oct 24, 2021",NYK vs. ORL,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100080,"Oct 30, 2021",NYK @ NOP,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100128,"Nov 05, 2021",NYK @ MIL,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100140,"Nov 07, 2021",NYK vs. CLE,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100282,"Nov 26, 2021",NYK vs. PHX,L,4,1,5,0.2,0,3,0.0,0,0,0.0,1,0,1,1,1,0,0,1,2,-5,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100369,"Dec 08, 2021",NYK @ IND,L,4,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,1,1,0,0,0,4,5,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100398,"Dec 12, 2021",NYK vs. MIL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100414,"Dec 14, 2021",NYK vs. GSW,L,20,3,8,0.375,2,4,0.5,0,0,0.0,0,4,4,1,0,0,0,2,8,4,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100431,"Dec 16, 2021",NYK @ HOU,W,36,6,11,0.545,2,5,0.4,1,1,1.0,1,1,2,9,4,0,0,4,15,19,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100516,"Dec 29, 2021",NYK @ DET,W,25,0,4,0.0,0,1,0.0,0,0,0.0,0,4,4,3,2,0,1,2,0,39,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100536,"Dec 31, 2021",NYK @ OKC,L,24,3,9,0.333,1,6,0.167,0,0,0.0,0,1,1,1,0,0,1,2,7,-7,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100545,"Jan 02, 2022",NYK @ TOR,L,15,1,6,0.167,0,4,0.0,0,0,0.0,0,0,0,3,0,0,1,3,2,-3,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100564,"Jan 04, 2022",NYK vs. IND,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100595,"Jan 08, 2022",NYK @ BOS,L,3,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,1,0,-5,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100610,"Jan 10, 2022",NYK vs. SAS,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-6,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100622,"Jan 12, 2022",NYK vs. DAL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100655,"Jan 17, 2022",NYK vs. CHA,L,3,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,8,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100727,"Jan 26, 2022",NYK @ MIA,L,2,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,3,1,2021-22,Regular Season,1630540,Miles McBride
22021,1630540,0022100763,"Jan 31, 2022",NYK vs. SAC,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1,2021-22,Regular Season,1630540,Miles McBride
