SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1631243,0022300097,"Oct 29, 2023",ATL @ MIL,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-9,1,2023-24,Regular Season,1631243,Mouhamed Gueye
22023,1631243,0022300104,"Oct 30, 2023",ATL vs. MIN,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2023-24,Regular Season,1631243,Mouhamed Gueye
22023,1631243,0022301130,"Apr 06, 2024",ATL @ DEN,L,4,0,3,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,-7,1,2023-24,Regular Season,1631243,Mouhamed Gueye
22023,1631243,0022301159,"Apr 10, 2024",ATL vs. CHA,L,17,1,3,0.333,1,1,1.0,0,0,0.0,2,5,7,3,1,1,0,4,3,0,1,2023-24,Regular Season,1631243,Mouhamed Gueye
22023,1631243,0022301178,"Apr 12, 2024",ATL @ MIN,L,21,1,5,0.2,0,2,0.0,0,0,0.0,3,2,5,1,1,0,0,4,2,-3,1,2023-24,Regular Season,1631243,Mouhamed Gueye
22023,1631243,0022301188,"Apr 14, 2024",ATL @ IND,L,27,6,11,0.545,2,3,0.667,5,6,0.833,4,5,9,0,2,3,0,4,19,-18,1,2023-24,Regular Season,1631243,Mouhamed Gueye
22024,1631243,0022400100,"Oct 27, 2024",ATL @ OKC,L,3,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-4,1,2024-25,Regular Season,1631243,Mouhamed Gueye
22024,1631243,0022400157,"Nov 04, 2024",ATL vs. BOS,L,8,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,3,1,2024-25,Regular Season,1631243,Mouhamed Gueye
22024,1631243,0022400656,"Jan 27, 2025",ATL @ MIN,L,19,2,9,0.222,0,6,0.0,0,0,0.0,1,3,4,1,2,0,0,1,4,9,1,2024-25,Regular Season,1631243,Mouhamed Gueye
22024,1631243,0022400532,"Jan 28, 2025",ATL vs. HOU,L,22,5,11,0.455,1,4,0.25,0,0,0.0,2,5,7,0,0,1,0,1,11,-7,1,2024-25,Regular Season,1631243,Mouhamed Gueye
