SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22025,1642066,0022500124,"Oct 28, 2025",MIA vs. CHA,W,3,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,2,3,0,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500051,"Nov 21, 2025",MIA @ CHI,W,5,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,2,3,-1,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500275,"Nov 23, 2025",MIA @ PHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500313,"Dec 01, 2025",MIA vs. LAC,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500381,"Dec 19, 2025",MIA @ BOS,L,17,2,4,0.5,1,3,0.333,0,0,0.0,1,1,2,1,1,0,0,4,5,3,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500414,"Dec 23, 2025",MIA vs. TOR,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500436,"Dec 27, 2025",MIA vs. IND,W,2,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,2,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500450,"Dec 29, 2025",MIA vs. DEN,W,3,0,3,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,0,-3,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500486,"Jan 03, 2026",MIA vs. MIN,L,5,3,3,1.0,1,1,1.0,0,0,0.0,1,0,1,2,0,0,0,0,7,8,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500497,"Jan 04, 2026",MIA vs. NOP,W,13,1,5,0.2,0,2,0.0,2,2,1.0,2,1,3,0,2,0,1,2,4,-8,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500513,"Jan 06, 2026",MIA @ MIN,L,5,1,2,0.5,0,1,0.0,2,2,1.0,0,0,0,1,1,0,0,0,4,0,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500543,"Jan 10, 2026",MIA @ IND,L,12,1,6,0.167,0,4,0.0,0,0,0.0,3,4,7,0,1,1,0,4,2,3,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500553,"Jan 11, 2026",MIA @ OKC,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500597,"Jan 17, 2026",MIA vs. OKC,W,15,4,4,1.0,3,3,1.0,0,0,0.0,1,4,5,1,0,1,0,2,11,6,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500612,"Jan 19, 2026",MIA @ GSW,L,4,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,5,1,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500619,"Jan 20, 2026",MIA @ SAC,W,15,2,4,0.5,0,2,0.0,1,1,1.0,0,1,1,3,0,0,0,0,5,-1,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500634,"Jan 22, 2026",MIA @ POR,L,16,2,5,0.4,2,5,0.4,1,2,0.5,0,3,3,1,2,0,1,4,7,6,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500649,"Jan 24, 2026",MIA @ UTA,W,10,1,4,0.25,0,1,0.0,0,2,0.0,3,3,6,4,0,2,0,4,2,12,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500655,"Jan 25, 2026",MIA @ PHX,W,3,0,0,0.0,0,0,0.0,2,2,1.0,1,0,1,1,0,0,0,2,2,6,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500692,"Jan 31, 2026",MIA vs. CHI,L,23,4,5,0.8,1,2,0.5,3,5,0.6,2,9,11,0,2,0,1,3,12,-4,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500705,"Feb 01, 2026",MIA vs. CHI,W,23,2,7,0.286,1,3,0.333,0,0,0.0,1,6,7,2,0,0,0,4,5,13,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500720,"Feb 03, 2026",MIA vs. ATL,L,22,5,8,0.625,2,3,0.667,2,2,1.0,0,6,6,0,2,0,0,1,14,8,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500741,"Feb 06, 2026",MIA @ BOS,L,6,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,2,0,-7,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500758,"Feb 08, 2026",MIA @ WAS,W,21,4,9,0.444,2,3,0.667,0,0,0.0,3,4,7,6,2,0,2,3,10,0,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500763,"Feb 09, 2026",MIA vs. UTA,L,6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-10,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500784,"Feb 11, 2026",MIA @ NOP,W,23,3,7,0.429,2,5,0.4,0,0,0.0,4,6,10,3,1,1,0,2,8,11,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500805,"Feb 20, 2026",MIA @ ATL,W,7,1,1,1.0,0,0,0.0,1,1,1.0,1,1,2,1,0,0,0,4,3,2,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500813,"Feb 21, 2026",MIA vs. MEM,W,6,2,3,0.667,1,2,0.5,0,0,0.0,1,2,3,2,0,0,1,0,5,6,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500837,"Feb 24, 2026",MIA @ MIL,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,5,1,2025-26,Regular Season,1642066,Myron Gardner
22025,1642066,0022500886,"Mar 03, 2026",MIA vs. BKN,W,4,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,6,1,2025-26,Regular Season,1642066,Myron Gardner
