SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22021,1629674,0022100440,"Dec 17, 2021",SAC vs. MEM,L,8,0,4,0.0,0,0,0.0,0,0,0.0,3,2,5,1,0,1,0,1,0,-9,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100462,"Dec 20, 2021",SAC @ GSW,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-1,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100588,"Jan 07, 2022",SAC @ DEN,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100611,"Jan 10, 2022",SAC vs. CLE,L,24,4,7,0.571,0,0,0.0,3,4,0.75,1,4,5,1,1,0,1,4,11,8,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100626,"Jan 12, 2022",SAC vs. LAL,W,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100640,"Jan 14, 2022",SAC vs. HOU,W,5,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,2,2,-2,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100717,"Jan 25, 2022",SAC @ BOS,L,8,3,4,0.75,0,0,0.0,0,1,0.0,1,1,2,0,0,2,0,2,6,-8,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100725,"Jan 26, 2022",SAC @ ATL,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100747,"Jan 29, 2022",SAC @ PHI,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-2,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022100763,"Jan 31, 2022",SAC @ NYK,L,4,1,3,0.333,0,0,0.0,0,0,0.0,4,0,4,1,0,1,1,0,2,6,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022101086,"Mar 23, 2022",SAC @ IND,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022101125,"Mar 28, 2022",SAC @ MIA,L,15,1,1,1.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,3,-6,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022101188,"Apr 05, 2022",SAC vs. NOP,L,11,1,3,0.333,0,0,0.0,3,4,0.75,1,3,4,0,0,0,1,1,5,-2,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022101212,"Apr 09, 2022",SAC @ LAC,L,19,3,7,0.429,0,0,0.0,4,6,0.667,1,0,1,2,0,2,1,3,10,-2,1,2021-22,Regular Season,1629674,Neemias Queta
22021,1629674,0022101229,"Apr 10, 2022",SAC @ PHX,W,18,3,4,0.75,0,0,0.0,0,0,0.0,0,6,6,0,0,2,0,3,6,8,1,2021-22,Regular Season,1629674,Neemias Queta
22022,1629674,0022200409,"Dec 13, 2022",SAC @ PHI,L,2,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,3,0,-6,1,2022-23,Regular Season,1629674,Neemias Queta
22022,1629674,0022200460,"Dec 19, 2022",SAC vs. CHA,L,7,1,3,0.333,0,0,0.0,0,0,0.0,2,2,4,0,0,1,1,0,2,-12,1,2022-23,Regular Season,1629674,Neemias Queta
22022,1629674,0022200475,"Dec 21, 2022",SAC vs. LAL,W,11,5,5,1.0,0,0,0.0,0,2,0.0,1,2,3,0,0,0,0,3,10,-6,1,2022-23,Regular Season,1629674,Neemias Queta
22022,1629674,0022200491,"Dec 23, 2022",SAC vs. WAS,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-7,1,2022-23,Regular Season,1629674,Neemias Queta
22022,1629674,0022201227,"Apr 09, 2023",SAC @ DEN,L,4,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,0,0,1,1,2022-23,Regular Season,1629674,Neemias Queta
22023,1629674,0022300213,"Nov 19, 2023",BOS @ MEM,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-3,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300246,"Nov 26, 2023",BOS vs. ATL,W,15,3,8,0.375,0,0,0.0,1,1,1.0,6,4,10,0,1,0,0,0,7,5,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300275,"Dec 01, 2023",BOS vs. PHI,W,10,1,1,1.0,0,0,0.0,3,4,0.75,2,3,5,0,0,0,2,1,5,3,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300329,"Dec 15, 2023",BOS vs. ORL,W,18,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,1,1,3,1,6,4,13,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300344,"Dec 17, 2023",BOS vs. ORL,W,16,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,2,8,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300362,"Dec 19, 2023",BOS @ GSW,L,21,5,8,0.625,0,0,0.0,0,0,0.0,6,4,10,1,1,0,0,0,10,10,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300373,"Dec 20, 2023",BOS @ SAC,W,19,3,8,0.375,0,0,0.0,0,0,0.0,4,4,8,0,1,0,1,5,6,3,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300389,"Dec 23, 2023",BOS @ LAC,W,23,4,7,0.571,0,0,0.0,6,8,0.75,6,6,12,3,0,0,1,5,14,14,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300403,"Dec 25, 2023",BOS @ LAL,W,7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,3,0,-10,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300421,"Dec 28, 2023",BOS vs. DET,W,20,2,2,1.0,0,0,0.0,1,2,0.5,0,2,2,0,1,0,0,4,5,-3,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300432,"Dec 29, 2023",BOS vs. TOR,W,14,3,3,1.0,0,0,0.0,0,0,0.0,1,4,5,1,0,0,0,0,6,3,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300448,"Dec 31, 2023",BOS @ SAS,W,5,2,2,1.0,0,0,0.0,1,1,1.0,0,2,2,0,0,1,0,0,5,1,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300479,"Jan 05, 2024",BOS vs. UTA,W,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-5,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300528,"Jan 11, 2024",BOS @ MIL,L,13,2,4,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,1,4,-4,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300571,"Jan 17, 2024",BOS vs. SAS,W,12,2,4,0.5,0,0,0.0,2,2,1.0,4,4,8,0,0,2,0,5,6,6,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300603,"Jan 21, 2024",BOS @ HOU,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,2,0,-1,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300630,"Jan 25, 2024",BOS @ MIA,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,2,0,3,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300646,"Jan 27, 2024",BOS vs. LAC,L,12,4,4,1.0,0,0,0.0,0,0,0.0,2,3,5,1,0,2,0,0,8,15,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300659,"Jan 29, 2024",BOS vs. NOP,W,10,2,4,0.5,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,1,4,-3,1,2023-24,Regular Season,1629674,Neemias Queta
22023,1629674,0022300670,"Jan 30, 2024",BOS vs. IND,W,14,2,3,0.667,0,0,0.0,0,1,0.0,0,1,1,1,0,2,1,1,4,15,1,2023-24,Regular Season,1629674,Neemias Queta
