SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22020,1630167,0022000971,"May 02, 2021",NYK @ HOU,W,17,1,4,0.25,0,1,0.0,3,4,0.75,0,3,3,1,1,1,2,2,5,9,1,2020-21,Regular Season,1630167,Obi Toppin
22020,1630167,0022000980,"May 03, 2021",NYK @ MEM,W,10,1,3,0.333,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,2,2,-1,1,2020-21,Regular Season,1630167,Obi Toppin
22020,1630167,0022000995,"May 05, 2021",NYK @ DEN,L,17,2,6,0.333,0,2,0.0,0,0,0.0,2,4,6,0,0,0,0,1,4,-3,1,2020-21,Regular Season,1630167,Obi Toppin
22020,1630167,0022001009,"May 07, 2021",NYK @ PHX,L,15,3,4,0.75,2,3,0.667,0,0,0.0,0,1,1,1,2,2,0,1,8,0,1,2020-21,Regular Season,1630167,Obi Toppin
22020,1630167,0022001019,"May 09, 2021",NYK @ LAC,W,10,3,4,0.75,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,7,-1,1,2020-21,Regular Season,1630167,Obi Toppin
22020,1630167,0022001041,"May 11, 2021",NYK @ LAL,L,9,2,2,1.0,1,1,1.0,0,0,0.0,1,2,3,2,0,0,0,1,5,5,1,2020-21,Regular Season,1630167,Obi Toppin
22020,1630167,0022000458,"May 13, 2021",NYK vs. SAS,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,1,2020-21,Regular Season,1630167,Obi Toppin
22020,1630167,0022001064,"May 15, 2021",NYK vs. CHA,W,7,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,1,0,0,3,-1,1,2020-21,Regular Season,1630167,Obi Toppin
22020,1630167,0022001073,"May 16, 2021",NYK vs. BOS,W,10,3,5,0.6,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,6,5,1,2020-21,Regular Season,1630167,Obi Toppin
42020,1630167,0042000131,"May 23, 2021",NYK vs. ATL,L,12,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,5,3,1,2020-21,Playoffs,1630167,Obi Toppin
42020,1630167,0042000132,"May 26, 2021",NYK vs. ATL,W,12,2,4,0.5,1,2,0.5,3,4,0.75,0,3,3,0,0,1,2,2,8,6,1,2020-21,Playoffs,1630167,Obi Toppin
