SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22020,1630168,0022000959,"May 01, 2021",ATL vs. CHI,W,14,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,3,4,-7,1,2020-21,Regular Season,1630168,Onyeka Okongwu
22020,1630168,0022000978,"May 03, 2021",ATL vs. POR,W,9,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,2,7,1,2020-21,Regular Season,1630168,Onyeka Okongwu
22020,1630168,0022000992,"May 05, 2021",ATL vs. PHX,W,18,6,7,0.857,0,0,0.0,2,2,1.0,4,3,7,2,3,1,1,3,14,33,1,2020-21,Regular Season,1630168,Onyeka Okongwu
22020,1630168,0022001000,"May 06, 2021",ATL @ IND,L,7,1,2,0.5,0,0,0.0,1,1,1.0,1,1,2,0,0,1,0,1,3,-8,1,2020-21,Regular Season,1630168,Onyeka Okongwu
22020,1630168,0022001026,"May 10, 2021",ATL vs. WAS,W,7,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,2,0,0,2,2,2,-3,1,2020-21,Regular Season,1630168,Onyeka Okongwu
22020,1630168,0022001042,"May 12, 2021",ATL vs. WAS,W,11,5,7,0.714,0,0,0.0,1,2,0.5,3,1,4,0,0,0,0,0,11,1,1,2020-21,Regular Season,1630168,Onyeka Okongwu
22020,1630168,0022001049,"May 13, 2021",ATL vs. ORL,W,16,1,3,0.333,0,0,0.0,1,2,0.5,3,3,6,0,0,1,2,2,3,-1,1,2020-21,Regular Season,1630168,Onyeka Okongwu
22020,1630168,0022001066,"May 16, 2021",ATL vs. HOU,W,33,10,13,0.769,0,0,0.0,1,3,0.333,6,9,15,3,2,2,1,2,21,17,1,2020-21,Regular Season,1630168,Onyeka Okongwu
42020,1630168,0042000131,"May 23, 2021",ATL @ NYK,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-3,1,2020-21,Playoffs,1630168,Onyeka Okongwu
42020,1630168,0042000132,"May 26, 2021",ATL @ NYK,L,6,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,1,1,-2,1,2020-21,Playoffs,1630168,Onyeka Okongwu
42020,1630168,0042000133,"May 28, 2021",ATL vs. NYK,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,1,2,0,-3,1,2020-21,Playoffs,1630168,Onyeka Okongwu
42020,1630168,0042000134,"May 30, 2021",ATL vs. NYK,W,11,0,2,0.0,0,0,0.0,2,2,1.0,2,1,3,0,0,0,1,3,2,-8,1,2020-21,Playoffs,1630168,Onyeka Okongwu
22020,1630168,0022000949,"Apr 30, 2021",ATL @ PHI,L,22,5,7,0.714,0,1,0.0,2,2,1.0,1,2,3,0,0,2,0,5,12,-13,1,2020-21,Regular Season,1630168,Onyeka Okongwu
