SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22020,1630202,0022000968,"May 02, 2021",BOS vs. POR,L,19,4,6,0.667,3,5,0.6,2,2,1.0,1,5,6,0,0,0,1,0,13,8,1,2020-21,Regular Season,1630202,Payton Pritchard
22020,1630202,0022000990,"May 05, 2021",BOS @ ORL,W,18,5,8,0.625,4,6,0.667,0,0,0.0,0,1,1,1,0,0,0,2,14,10,1,2020-21,Regular Season,1630202,Payton Pritchard
22020,1630202,0022000160,"May 07, 2021",BOS @ CHI,L,11,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-15,1,2020-21,Regular Season,1630202,Payton Pritchard
22020,1630202,0022000145,"May 09, 2021",BOS vs. MIA,L,8,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-1,1,2020-21,Regular Season,1630202,Payton Pritchard
22020,1630202,0022001032,"May 11, 2021",BOS vs. MIA,L,13,3,4,0.75,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,7,6,1,2020-21,Regular Season,1630202,Payton Pritchard
22020,1630202,0022001044,"May 12, 2021",BOS @ CLE,L,26,5,13,0.385,4,9,0.444,1,2,0.5,1,6,7,3,1,0,0,2,15,-7,1,2020-21,Regular Season,1630202,Payton Pritchard
22020,1630202,0022001063,"May 15, 2021",BOS @ MIN,W,26,4,12,0.333,3,7,0.429,0,0,0.0,0,4,4,1,4,0,1,1,11,9,1,2020-21,Regular Season,1630202,Payton Pritchard
22020,1630202,0022001073,"May 16, 2021",BOS @ NYK,L,23,2,10,0.2,2,8,0.25,0,0,0.0,1,5,6,6,0,0,1,2,6,-24,1,2020-21,Regular Season,1630202,Payton Pritchard
42020,1630202,0042000111,"May 22, 2021",BOS @ BKN,L,7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,1,2020-21,Playoffs,1630202,Payton Pritchard
42020,1630202,0042000112,"May 25, 2021",BOS @ BKN,L,13,0,5,0.0,0,3,0.0,2,2,1.0,0,3,3,4,1,0,1,1,2,-4,1,2020-21,Playoffs,1630202,Payton Pritchard
42020,1630202,0042000113,"May 28, 2021",BOS vs. BKN,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,3,1,2020-21,Playoffs,1630202,Payton Pritchard
42020,1630202,0042000114,"May 30, 2021",BOS vs. BKN,L,24,5,9,0.556,2,4,0.5,0,0,0.0,1,1,2,3,1,0,1,0,12,-1,1,2020-21,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100211,"May 01, 2022",BOS vs. MIL,L,11,2,8,0.25,2,8,0.25,0,0,0.0,1,1,2,0,0,0,0,1,6,-17,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100212,"May 03, 2022",BOS vs. MIL,W,24,2,6,0.333,2,4,0.5,0,0,0.0,0,3,3,3,0,0,1,1,6,-2,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100213,"May 07, 2022",BOS @ MIL,L,11,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,3,0,0,0,2,0,5,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100214,"May 09, 2022",BOS @ MIL,W,13,0,2,0.0,0,2,0.0,0,0,0.0,1,2,3,4,1,0,0,2,0,14,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100215,"May 11, 2022",BOS vs. MIL,L,10,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,4,3,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100216,"May 13, 2022",BOS @ MIL,W,7,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,1,0,-2,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100217,"May 15, 2022",BOS vs. MIL,W,17,5,7,0.714,4,6,0.667,0,0,0.0,2,3,5,3,0,0,0,0,14,14,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100301,"May 17, 2022",BOS @ MIA,L,30,6,16,0.375,4,11,0.364,2,2,1.0,1,4,5,4,1,0,1,2,18,-1,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100302,"May 19, 2022",BOS @ MIA,W,23,4,8,0.5,2,6,0.333,0,0,0.0,0,2,2,2,1,0,0,2,10,39,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100303,"May 21, 2022",BOS vs. MIA,L,13,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,4,0,0,0,1,3,8,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100304,"May 23, 2022",BOS vs. MIA,W,25,5,8,0.625,3,6,0.5,1,2,0.5,0,2,2,3,1,1,1,4,14,-6,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100305,"May 25, 2022",BOS @ MIA,W,6,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100306,"May 27, 2022",BOS vs. MIA,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1,1,2021-22,Playoffs,1630202,Payton Pritchard
42021,1630202,0042100307,"May 29, 2022",BOS @ MIA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-3,1,2021-22,Playoffs,1630202,Payton Pritchard
42022,1630202,0042200212,"May 03, 2023",BOS vs. PHI,W,12,3,3,1.0,1,1,1.0,1,1,1.0,0,2,2,3,1,0,2,1,8,7,1,2022-23,Playoffs,1630202,Payton Pritchard
42022,1630202,0042200215,"May 09, 2023",BOS vs. PHI,L,9,3,5,0.6,2,2,1.0,0,0,0.0,0,1,1,1,0,0,0,0,8,14,1,2022-23,Playoffs,1630202,Payton Pritchard
42022,1630202,0042200217,"May 14, 2023",BOS vs. PHI,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-4,1,2022-23,Playoffs,1630202,Payton Pritchard
42022,1630202,0042200301,"May 17, 2023",BOS vs. MIA,L,12,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-3,1,2022-23,Playoffs,1630202,Payton Pritchard
42022,1630202,0042200303,"May 21, 2023",BOS @ MIA,L,12,5,8,0.625,1,2,0.5,1,2,0.5,0,2,2,5,0,0,1,2,12,4,1,2022-23,Playoffs,1630202,Payton Pritchard
42022,1630202,0042200304,"May 23, 2023",BOS @ MIA,W,1,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,0,1,2022-23,Playoffs,1630202,Payton Pritchard
