SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1631250,0022300595,"Jan 20, 2024",CLE @ ATL,W,3,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2023-24,Regular Season,1631250,Pete Nance
22023,1631250,0022300624,"Jan 24, 2024",CLE @ MIL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,5,1,2023-24,Regular Season,1631250,Pete Nance
22023,1631250,0022300930,"Mar 10, 2024",CLE vs. BKN,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,1,2023-24,Regular Season,1631250,Pete Nance
22023,1631250,0022301033,"Mar 25, 2024",CLE vs. CHA,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,2,1,2023-24,Regular Season,1631250,Pete Nance
22023,1631250,0022301110,"Apr 03, 2024",CLE @ PHX,L,1,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,-2,1,2023-24,Regular Season,1631250,Pete Nance
22023,1631250,0022301127,"Apr 06, 2024",CLE @ LAL,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-3,1,2023-24,Regular Season,1631250,Pete Nance
22023,1631250,0022301158,"Apr 10, 2024",CLE vs. MEM,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-4,1,2023-24,Regular Season,1631250,Pete Nance
22023,1631250,0022301187,"Apr 14, 2024",CLE vs. CHA,L,12,1,3,0.333,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,3,-18,1,2023-24,Regular Season,1631250,Pete Nance
22024,1631250,0022400447,"Dec 30, 2024",PHI @ POR,W,3,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,3,3,-2,1,2024-25,Regular Season,1631250,Pete Nance
22024,1631250,0022400555,"Jan 14, 2025",PHI vs. OKC,L,18,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,1,0,-1,1,2024-25,Regular Season,1631250,Pete Nance
22024,1631250,0022400588,"Jan 18, 2025",PHI @ IND,L,7,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,1,4,0,1,2024-25,Regular Season,1631250,Pete Nance
22024,1631250,0022400594,"Jan 19, 2025",PHI @ MIL,L,24,3,9,0.333,2,8,0.25,0,0,0.0,1,5,6,2,0,0,0,4,8,-4,1,2024-25,Regular Season,1631250,Pete Nance
22024,1631250,0022400609,"Jan 21, 2025",PHI @ DEN,L,8,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-13,1,2024-25,Regular Season,1631250,Pete Nance
22024,1631250,0022400660,"Jan 28, 2025",PHI vs. LAL,W,7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4,1,2024-25,Regular Season,1631250,Pete Nance
22024,1631250,0022400669,"Jan 29, 2025",PHI vs. SAC,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,1,2024-25,Regular Season,1631250,Pete Nance
