SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,203552,0021500031,"Oct 30, 2015",SAC vs. LAL,W,4,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,-3,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500058,"Nov 03, 2015",SAC vs. MEM,L,3,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,4,5,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500067,"Nov 04, 2015",SAC @ PHX,L,5,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,2,0,0,0,0,3,-3,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500084,"Nov 06, 2015",SAC vs. HOU,L,15,3,4,0.75,2,2,1.0,0,0,0.0,0,0,0,2,0,0,0,0,8,10,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500137,"Nov 13, 2015",SAC vs. BKN,W,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500150,"Nov 15, 2015",SAC vs. TOR,W,5,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,0,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500237,"Nov 27, 2015",SAC vs. MIN,L,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,2,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500245,"Nov 28, 2015",SAC @ GSW,L,9,3,4,0.75,3,3,1.0,0,0,0.0,0,1,1,2,0,0,2,1,9,9,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500260,"Nov 30, 2015",SAC vs. DAL,W,20,2,3,0.667,2,3,0.667,2,2,1.0,0,1,1,1,0,0,0,1,8,4,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500282,"Dec 03, 2015",SAC vs. BOS,L,23,2,4,0.5,0,1,0.0,4,6,0.667,0,2,2,0,1,0,1,2,8,-1,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500369,"Dec 15, 2015",SAC vs. HOU,W,21,1,4,0.25,0,2,0.0,4,4,1.0,0,1,1,0,0,0,1,0,6,-8,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500392,"Dec 18, 2015",SAC @ MIN,L,7,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,6,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500410,"Dec 21, 2015",SAC @ WAS,L,11,1,3,0.333,0,1,0.0,1,1,1.0,0,1,1,0,1,0,1,0,3,-8,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500425,"Dec 23, 2015",SAC @ IND,W,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,7,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500457,"Dec 27, 2015",SAC vs. POR,L,9,0,2,0.0,0,1,0.0,1,2,0.5,0,1,1,0,1,0,1,1,1,4,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500468,"Dec 28, 2015",SAC @ GSW,L,20,1,6,0.167,0,3,0.0,5,5,1.0,1,1,2,3,1,0,0,0,7,-9,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500496,"Jan 02, 2016",SAC vs. PHX,W,6,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,0,4,1,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500523,"Jan 05, 2016",SAC @ DAL,L,36,2,7,0.286,2,3,0.667,0,0,0.0,1,2,3,2,2,0,1,5,6,9,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500539,"Jan 07, 2016",SAC vs. LAL,W,10,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-11,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500556,"Jan 09, 2016",SAC vs. GSW,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-3,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500585,"Jan 13, 2016",SAC vs. NOP,L,14,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,1,4,10,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500638,"Jan 20, 2016",SAC @ LAL,W,2,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500682,"Jan 26, 2016",SAC @ POR,L,7,2,4,0.5,1,2,0.5,2,3,0.667,0,1,1,0,1,0,1,0,7,4,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500773,"Feb 07, 2016",SAC @ BOS,L,4,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,1,1,0,1,3,-4,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500775,"Feb 08, 2016",SAC @ CLE,L,5,0,2,0.0,0,1,0.0,0,2,0.0,0,0,0,0,1,0,0,0,0,-2,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500816,"Feb 19, 2016",SAC vs. DEN,W,1,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500854,"Feb 24, 2016",SAC vs. SAS,L,6,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-4,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500867,"Feb 26, 2016",SAC vs. LAC,L,26,5,9,0.556,3,4,0.75,6,7,0.857,0,4,4,0,1,0,2,4,19,-1,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500970,"Mar 11, 2016",SAC vs. ORL,L,18,1,6,0.167,1,3,0.333,0,0,0.0,1,2,3,0,1,0,0,0,3,1,1,2015-16,Regular Season,203552,Seth Curry
22015,203552,0021500986,"Mar 13, 2016",SAC vs. UTA,L,17,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,2,1,0,0,1,5,2,1,2015-16,Regular Season,203552,Seth Curry
