SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22022,1631101,0022200014,"Oct 19, 2022",POR @ SAC,W,16,4,6,0.667,3,3,1.0,1,2,0.5,0,2,2,1,0,0,0,2,12,8,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200027,"Oct 21, 2022",POR vs. PHX,W,12,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,4,0,7,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200037,"Oct 23, 2022",POR @ LAL,W,16,2,6,0.333,0,1,0.0,0,0,0.0,3,1,4,1,1,1,1,2,4,8,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200051,"Oct 24, 2022",POR vs. DEN,W,16,4,6,0.667,1,2,0.5,2,2,1.0,1,0,1,0,0,0,1,2,11,7,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200065,"Oct 26, 2022",POR vs. MIA,L,21,5,12,0.417,2,5,0.4,3,5,0.6,3,5,8,0,1,0,2,2,15,-9,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200080,"Oct 28, 2022",POR vs. HOU,W,29,7,12,0.583,0,2,0.0,0,0,0.0,1,0,1,2,0,0,0,4,14,-1,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200116,"Nov 02, 2022",POR vs. MEM,L,24,1,6,0.167,0,1,0.0,0,0,0.0,0,2,2,0,2,1,0,1,2,-6,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200130,"Nov 04, 2022",POR @ PHX,W,28,4,8,0.5,2,3,0.667,0,0,0.0,0,1,1,1,0,0,0,3,10,-10,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200139,"Nov 05, 2022",POR @ PHX,L,27,6,12,0.5,1,2,0.5,0,0,0.0,0,4,4,0,0,1,2,2,13,-4,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200150,"Nov 07, 2022",POR @ MIA,W,12,2,2,1.0,1,1,1.0,0,0,0.0,1,0,1,0,0,0,1,0,5,-4,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200159,"Nov 09, 2022",POR @ CHA,W,29,7,10,0.7,1,4,0.25,2,2,1.0,1,3,4,0,0,0,0,1,17,30,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200190,"Nov 12, 2022",POR @ DAL,L,19,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,2,5,-13,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200209,"Nov 15, 2022",POR vs. SAS,W,23,5,7,0.714,2,3,0.667,1,2,0.5,0,2,2,0,0,1,0,2,13,0,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200221,"Nov 17, 2022",POR vs. BKN,L,21,7,9,0.778,4,5,0.8,2,2,1.0,1,1,2,0,0,0,2,1,20,0,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200238,"Nov 19, 2022",POR vs. UTA,L,22,2,8,0.25,0,3,0.0,0,0,0.0,0,3,3,1,0,0,0,0,4,-3,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200251,"Nov 21, 2022",POR @ MIL,L,27,1,9,0.111,0,4,0.0,0,0,0.0,1,3,4,2,0,0,3,1,2,-6,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200261,"Nov 23, 2022",POR @ CLE,L,15,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-15,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200274,"Nov 25, 2022",POR @ NYK,W,13,2,3,0.667,1,2,0.5,0,2,0.0,0,1,1,0,0,0,0,1,5,-12,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200290,"Nov 27, 2022",POR @ BKN,L,15,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,1,0,0,0,-5,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200311,"Nov 29, 2022",POR vs. LAC,L,14,2,7,0.286,0,0,0.0,1,2,0.5,1,0,1,1,1,0,1,0,5,-11,1,2022-23,Regular Season,1631101,Shaedon Sharpe
22022,1631101,0022200324,"Nov 30, 2022",POR @ LAL,L,28,7,12,0.583,1,4,0.25,1,1,1.0,2,1,3,0,0,0,1,2,16,-14,1,2022-23,Regular Season,1631101,Shaedon Sharpe
