SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22021,1630536,0022100014,"Oct 21, 2021",ATL vs. DAL,W,4,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100043,"Oct 25, 2021",ATL vs. DET,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-5,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100193,"Nov 14, 2021",ATL vs. MIL,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100202,"Nov 15, 2021",ATL vs. ORL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,3,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100255,"Nov 22, 2021",ATL vs. OKC,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100418,"Dec 15, 2021",ATL @ ORL,W,3,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,-9,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100434,"Dec 17, 2021",ATL vs. DEN,L,4,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,3,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100470,"Dec 22, 2021",ATL vs. ORL,L,12,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0,-15,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100589,"Jan 07, 2022",ATL @ LAL,L,3,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,1,0,3,2,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100621,"Jan 12, 2022",ATL vs. MIA,L,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022100856,"Feb 13, 2022",ATL @ BOS,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022101192,"Apr 06, 2022",ATL vs. WAS,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2021-22,Regular Season,1630536,Sharife Cooper
22021,1630536,0022101221,"Apr 10, 2022",ATL @ HOU,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2021-22,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500086,"Oct 22, 2025",WAS @ MIL,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,2,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500109,"Oct 26, 2025",WAS vs. CHA,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500057,"Nov 25, 2025",WAS vs. ATL,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-5,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500073,"Nov 28, 2025",WAS @ IND,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500645,"Jan 24, 2026",WAS @ CHA,L,9,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,1,1,3,6,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500688,"Jan 30, 2026",WAS vs. LAL,L,13,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,2,0,0,1,2,2,-10,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500707,"Feb 01, 2026",WAS vs. SAC,W,13,2,4,0.5,0,0,0.0,1,2,0.5,2,5,7,3,0,0,1,1,5,4,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500718,"Feb 03, 2026",WAS vs. NYK,L,19,4,8,0.5,1,3,0.333,0,0,0.0,1,3,4,1,0,1,2,2,9,4,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500733,"Feb 05, 2026",WAS @ DET,W,34,8,12,0.667,2,5,0.4,0,0,0.0,1,2,3,5,0,0,5,3,18,-3,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500747,"Feb 07, 2026",WAS @ BKN,L,29,5,8,0.625,2,3,0.667,2,2,1.0,0,5,5,3,0,0,2,2,14,-20,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500758,"Feb 08, 2026",WAS vs. MIA,L,20,3,5,0.6,0,0,0.0,2,3,0.667,0,1,1,3,1,0,2,0,8,-28,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500776,"Feb 11, 2026",WAS @ CLE,L,24,4,9,0.444,3,5,0.6,0,0,0.0,0,5,5,5,1,1,3,3,11,-7,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500795,"Feb 19, 2026",WAS vs. IND,W,24,3,10,0.3,0,3,0.0,2,2,1.0,2,3,5,7,2,0,3,4,8,0,1,2025-26,Regular Season,1630536,Sharife Cooper
22025,1630536,0022500803,"Feb 20, 2026",WAS vs. IND,W,27,8,11,0.727,0,2,0.0,2,3,0.667,0,3,3,5,0,0,4,2,18,2,1,2025-26,Regular Season,1630536,Sharife Cooper
