SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,202699,0021500004,"Oct 28, 2015",ORL vs. WAS,L,31,7,14,0.5,0,3,0.0,1,2,0.5,2,5,7,3,0,1,2,4,15,-1,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500022,"Oct 30, 2015",ORL vs. OKC,L,46,9,19,0.474,2,4,0.5,10,12,0.833,4,5,9,4,0,1,5,3,30,-2,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500043,"Nov 01, 2015",ORL @ CHI,L,22,5,14,0.357,0,2,0.0,1,2,0.5,4,3,7,2,0,0,3,2,11,-2,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500056,"Nov 03, 2015",ORL @ NOP,W,29,4,11,0.364,1,3,0.333,0,0,0.0,4,9,13,1,1,0,1,4,9,-3,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500064,"Nov 04, 2015",ORL @ HOU,L,21,6,10,0.6,1,2,0.5,3,4,0.75,2,3,5,2,1,0,2,3,16,-1,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500075,"Nov 06, 2015",ORL vs. TOR,W,36,8,10,0.8,2,2,1.0,2,4,0.5,2,7,9,2,1,0,4,2,20,6,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500087,"Nov 07, 2015",ORL @ PHI,W,26,3,7,0.429,0,1,0.0,3,4,0.75,0,4,4,3,1,1,0,2,9,6,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500099,"Nov 09, 2015",ORL @ IND,L,29,3,13,0.231,1,3,0.333,1,2,0.5,2,8,10,0,0,0,1,0,8,-13,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500114,"Nov 11, 2015",ORL vs. LAL,W,37,5,13,0.385,1,3,0.333,0,0,0.0,5,6,11,1,1,1,1,3,11,-6,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500128,"Nov 13, 2015",ORL vs. UTA,W,40,4,9,0.444,3,6,0.5,8,8,1.0,2,11,13,3,3,1,2,2,19,10,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500139,"Nov 14, 2015",ORL @ WAS,L,36,5,11,0.455,0,1,0.0,0,0,0.0,2,3,5,0,0,0,2,2,10,-5,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500166,"Nov 18, 2015",ORL vs. MIN,W,42,5,15,0.333,0,2,0.0,2,2,1.0,2,8,10,2,0,0,0,2,12,1,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500189,"Nov 21, 2015",ORL vs. SAC,L,37,10,16,0.625,0,4,0.0,4,4,1.0,0,4,4,3,3,3,3,2,24,3,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500203,"Nov 23, 2015",ORL @ CLE,L,25,4,7,0.571,0,1,0.0,1,2,0.5,0,2,2,5,0,1,1,1,9,-28,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500216,"Nov 25, 2015",ORL vs. NYK,W,34,4,6,0.667,1,1,1.0,8,8,1.0,0,10,10,2,0,1,1,2,17,7,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500228,"Nov 27, 2015",ORL vs. MIL,W,30,6,10,0.6,4,5,0.8,3,3,1.0,1,1,2,3,1,1,1,1,19,20,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500249,"Nov 29, 2015",ORL vs. BOS,W,33,7,13,0.538,0,3,0.0,1,3,0.333,6,5,11,2,1,1,2,1,15,6,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500265,"Dec 01, 2015",ORL @ MIN,W,35,4,12,0.333,2,5,0.4,3,4,0.75,2,2,4,1,1,0,2,2,13,8,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500279,"Dec 03, 2015",ORL @ UTA,W,40,5,13,0.385,1,3,0.333,6,6,1.0,1,6,7,1,2,1,1,0,17,7,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500298,"Dec 05, 2015",ORL @ LAC,L,27,3,13,0.231,0,3,0.0,4,4,1.0,2,8,10,0,1,0,1,2,10,-9,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500317,"Dec 08, 2015",ORL @ DEN,W,32,7,13,0.538,0,2,0.0,3,3,1.0,0,9,9,1,2,2,2,4,17,10,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500326,"Dec 09, 2015",ORL @ PHX,L,33,6,13,0.462,1,4,0.25,3,3,1.0,0,3,3,3,3,0,3,2,16,-4,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500334,"Dec 11, 2015",ORL vs. CLE,L,17,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,0,1,0,2,1,0,-22,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500358,"Dec 14, 2015",ORL @ BKN,W,26,7,11,0.636,1,4,0.25,0,1,0.0,0,9,9,3,0,0,0,0,15,15,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500372,"Dec 16, 2015",ORL vs. CHA,W,23,5,11,0.455,2,4,0.5,1,1,1.0,0,5,5,1,2,1,3,1,13,12,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500387,"Dec 18, 2015",ORL vs. POR,W,36,9,13,0.692,1,3,0.333,6,7,0.857,3,9,12,2,3,0,0,0,25,9,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500407,"Dec 20, 2015",ORL vs. ATL,L,31,2,9,0.222,0,2,0.0,0,0,0.0,0,6,6,3,1,1,0,5,4,5,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500412,"Dec 21, 2015",ORL @ NYK,W,37,7,14,0.5,3,6,0.5,3,3,1.0,0,3,3,1,3,0,0,4,20,6,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500426,"Dec 23, 2015",ORL vs. HOU,W,36,8,10,0.8,1,1,1.0,2,2,1.0,3,5,8,1,0,1,2,1,19,3,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500444,"Dec 26, 2015",ORL vs. MIA,L,39,4,7,0.571,2,3,0.667,3,6,0.5,0,6,6,1,2,0,1,2,13,0,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500460,"Dec 28, 2015",ORL vs. NOP,W,37,5,8,0.625,1,2,0.5,3,3,1.0,1,8,9,4,0,0,0,1,14,19,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500475,"Dec 30, 2015",ORL vs. BKN,W,37,5,13,0.385,0,3,0.0,2,3,0.667,2,6,8,2,1,0,2,0,12,10,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500490,"Jan 01, 2016",ORL @ WAS,L,36,5,9,0.556,1,3,0.333,2,3,0.667,1,9,10,3,0,1,2,1,13,-11,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500499,"Jan 02, 2016",ORL @ CLE,L,22,2,5,0.4,0,2,0.0,0,0,0.0,0,5,5,1,0,1,1,2,4,-23,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500514,"Jan 04, 2016",ORL @ DET,L,33,4,7,0.571,1,2,0.5,2,2,1.0,0,3,3,3,0,0,1,2,11,-12,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500526,"Jan 06, 2016",ORL vs. IND,L,34,3,12,0.25,0,6,0.0,0,0,0.0,0,3,3,2,0,1,2,1,6,-14,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500541,"Jan 08, 2016",ORL @ BKN,W,43,3,15,0.2,1,4,0.25,2,4,0.5,2,10,12,8,0,2,1,3,9,14,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500552,"Jan 09, 2016",ORL vs. WAS,L,35,4,9,0.444,0,2,0.0,3,4,0.75,1,3,4,1,2,0,1,1,11,-12,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500588,"Jan 14, 2016",ORL vs. TOR,L,44,7,13,0.538,2,4,0.5,0,0,0.0,1,10,11,3,1,0,4,2,16,10,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500620,"Jan 18, 2016",ORL @ ATL,L,32,2,7,0.286,0,2,0.0,2,2,1.0,1,3,4,4,4,1,2,1,6,-7,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500629,"Jan 20, 2016",ORL vs. PHI,L,36,5,13,0.385,1,3,0.333,4,7,0.571,1,9,10,2,1,1,1,2,15,-11,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500645,"Jan 22, 2016",ORL vs. CHA,L,39,9,14,0.643,0,4,0.0,4,5,0.8,0,5,5,2,0,2,1,5,22,-6,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500670,"Jan 25, 2016",ORL @ MEM,L,39,6,9,0.667,3,4,0.75,1,1,1.0,0,4,4,3,0,0,2,1,16,-16,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500681,"Jan 26, 2016",ORL @ MIL,L,24,4,12,0.333,2,5,0.4,3,7,0.429,3,3,6,2,1,1,2,2,13,-6,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500698,"Jan 29, 2016",ORL @ BOS,L,28,3,12,0.25,2,4,0.5,2,2,1.0,2,5,7,0,0,0,2,2,10,-9,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500716,"Jan 31, 2016",ORL vs. BOS,W,40,6,9,0.667,1,3,0.333,3,3,1.0,2,4,6,0,3,0,2,1,16,8,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500726,"Feb 01, 2016",ORL @ SAS,L,25,5,9,0.556,1,3,0.333,0,0,0.0,1,3,4,0,0,0,3,2,11,-10,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500740,"Feb 03, 2016",ORL @ OKC,L,34,7,14,0.5,1,4,0.25,0,2,0.0,2,5,7,3,0,0,0,1,15,8,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500752,"Feb 05, 2016",ORL vs. LAC,L,28,4,9,0.444,0,2,0.0,5,5,1.0,2,6,8,0,0,0,1,1,13,-2,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500806,"Feb 19, 2016",DET @ WAS,L,30,9,12,0.75,1,2,0.5,2,2,1.0,1,3,4,0,0,0,2,2,21,-6,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500823,"Feb 21, 2016",DET vs. NOP,L,35,6,17,0.353,2,6,0.333,2,3,0.667,0,5,5,2,1,2,1,3,16,-4,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500833,"Feb 22, 2016",DET @ CLE,W,35,6,14,0.429,1,5,0.2,1,1,1.0,1,4,5,3,3,0,1,5,14,16,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500847,"Feb 24, 2016",DET vs. PHI,W,30,9,12,0.75,1,2,0.5,3,4,0.75,1,7,8,2,0,0,1,1,22,18,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500873,"Feb 27, 2016",DET @ MIL,W,35,5,14,0.357,2,3,0.667,3,4,0.75,1,3,4,4,1,0,1,1,15,10,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500879,"Feb 28, 2016",DET vs. TOR,W,25,5,9,0.556,2,3,0.667,2,2,1.0,1,6,7,1,0,0,0,2,14,21,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500905,"Mar 02, 2016",DET @ SAS,L,38,7,16,0.438,1,2,0.5,1,2,0.5,1,5,6,4,0,0,1,1,16,-18,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500923,"Mar 05, 2016",DET @ NYK,L,36,6,12,0.5,0,2,0.0,6,8,0.75,1,7,8,1,0,0,1,3,18,-13,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500934,"Mar 06, 2016",DET vs. POR,W,39,7,12,0.583,2,3,0.667,0,0,0.0,0,5,5,5,2,0,4,4,16,29,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500954,"Mar 09, 2016",DET @ DAL,W,39,6,11,0.545,2,6,0.333,5,5,1.0,1,6,7,5,1,0,2,2,19,1,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500963,"Mar 11, 2016",DET @ CHA,L,35,6,14,0.429,2,5,0.4,6,6,1.0,0,5,5,1,3,0,2,2,20,-14,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500976,"Mar 12, 2016",DET @ PHI,W,33,8,12,0.667,2,3,0.667,3,3,1.0,1,7,8,1,0,0,3,3,21,13,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021500989,"Mar 14, 2016",DET @ WAS,L,23,3,10,0.3,0,4,0.0,2,2,1.0,0,1,1,2,0,0,1,1,8,-27,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021501007,"Mar 16, 2016",DET vs. ATL,L,34,6,12,0.5,2,4,0.5,5,5,1.0,1,10,11,5,0,0,1,3,19,0,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021501022,"Mar 18, 2016",DET vs. SAC,W,35,6,14,0.429,1,4,0.25,4,4,1.0,0,5,5,3,0,0,1,3,17,17,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021501030,"Mar 19, 2016",DET vs. BKN,W,24,6,14,0.429,1,2,0.5,0,0,0.0,3,3,6,2,0,1,0,0,13,-4,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021501047,"Mar 21, 2016",DET vs. MIL,W,37,4,12,0.333,0,2,0.0,5,5,1.0,2,4,6,2,0,0,0,2,13,-4,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021501058,"Mar 23, 2016",DET vs. ORL,W,33,7,14,0.5,1,3,0.333,3,3,1.0,1,3,4,3,0,2,0,1,18,13,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021501074,"Mar 25, 2016",DET vs. CHA,W,28,1,7,0.143,0,4,0.0,5,5,1.0,1,6,7,5,1,1,0,3,7,5,1,2015-16,Regular Season,202699,Tobias Harris
22015,202699,0021501085,"Mar 26, 2016",DET vs. ATL,L,34,10,20,0.5,1,3,0.333,0,0,0.0,2,8,10,5,0,1,2,3,21,-9,1,2015-16,Regular Season,202699,Tobias Harris
