SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22025,1642848,0022500086,"Oct 22, 2025",WAS @ MIL,L,26,5,11,0.455,4,8,0.5,2,2,1.0,2,3,5,2,1,1,4,1,16,-8,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500096,"Oct 24, 2025",WAS @ DAL,W,26,7,13,0.538,3,6,0.5,0,0,0.0,1,2,3,2,0,1,0,2,17,7,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500109,"Oct 26, 2025",WAS vs. CHA,L,29,6,14,0.429,2,7,0.286,2,2,1.0,1,3,4,2,0,1,0,4,16,-16,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500123,"Oct 28, 2025",WAS vs. PHI,L,26,4,11,0.364,2,7,0.286,0,0,0.0,1,1,2,2,0,0,1,3,10,3,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500140,"Oct 30, 2025",WAS @ OKC,L,27,3,7,0.429,2,5,0.4,2,2,1.0,0,3,3,2,0,0,1,4,10,-2,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500145,"Nov 01, 2025",WAS vs. ORL,L,25,3,12,0.25,0,5,0.0,1,1,1.0,0,3,3,0,1,2,2,0,7,-9,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500159,"Nov 03, 2025",WAS @ NYK,L,21,4,9,0.444,2,4,0.5,0,0,0.0,0,4,4,1,0,1,1,0,10,4,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500174,"Nov 05, 2025",WAS @ BOS,L,24,2,5,0.4,1,2,0.5,2,2,1.0,0,1,1,1,0,0,3,3,7,-15,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500029,"Nov 07, 2025",WAS vs. CLE,L,29,7,11,0.636,3,4,0.75,2,3,0.667,0,3,3,1,0,0,2,4,19,-18,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500183,"Nov 08, 2025",WAS vs. DAL,L,26,4,13,0.308,1,6,0.167,0,0,0.0,1,8,9,0,1,0,3,0,9,1,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500199,"Nov 10, 2025",WAS @ DET,L,23,4,7,0.571,1,2,0.5,1,1,1.0,1,3,4,3,0,0,1,0,10,-1,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500218,"Nov 12, 2025",WAS @ HOU,L,27,4,10,0.4,4,7,0.571,0,1,0.0,0,1,1,1,1,0,1,1,12,-9,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500235,"Nov 16, 2025",WAS vs. BKN,L,17,3,9,0.333,0,4,0.0,0,0,0.0,0,0,0,1,0,0,1,3,6,-25,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500259,"Nov 19, 2025",WAS @ MIN,L,17,4,6,0.667,2,4,0.5,0,0,0.0,0,1,1,0,2,0,3,3,10,-1,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500050,"Nov 21, 2025",WAS @ TOR,L,19,5,8,0.625,3,5,0.6,1,2,0.5,0,2,2,2,0,1,1,0,14,-20,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022501212,"Dec 12, 2025",WAS vs. CLE,L,17,1,6,0.167,0,3,0.0,1,2,0.5,1,0,1,1,1,0,1,2,3,-11,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022501216,"Dec 14, 2025",WAS @ IND,W,16,4,7,0.571,3,4,0.75,3,3,1.0,0,2,2,2,0,0,0,1,14,9,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500370,"Dec 18, 2025",WAS @ SAS,L,24,2,9,0.222,2,5,0.4,2,2,1.0,2,4,6,2,1,0,1,1,8,-8,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500391,"Dec 20, 2025",WAS @ MEM,W,21,5,11,0.455,2,7,0.286,0,0,0.0,0,3,3,2,1,0,3,2,12,7,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500399,"Dec 21, 2025",WAS vs. SAS,L,25,6,10,0.6,3,6,0.5,4,4,1.0,1,6,7,1,0,2,0,1,19,4,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500409,"Dec 23, 2025",WAS @ CHA,L,21,5,12,0.417,2,7,0.286,0,0,0.0,1,2,3,2,1,0,0,0,12,10,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500425,"Dec 26, 2025",WAS vs. TOR,W,20,4,8,0.5,0,3,0.0,4,4,1.0,0,1,1,3,0,0,2,1,12,3,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500443,"Dec 28, 2025",WAS vs. MEM,W,26,5,11,0.455,2,5,0.4,2,2,1.0,0,0,0,4,1,1,1,2,14,18,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500448,"Dec 29, 2025",WAS vs. PHX,L,25,9,12,0.75,5,5,1.0,1,1,1.0,0,1,1,2,1,0,3,1,24,-18,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500469,"Dec 31, 2025",WAS @ MIL,W,28,5,13,0.385,4,7,0.571,0,0,0.0,1,1,2,2,0,0,1,1,14,-5,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500477,"Jan 02, 2026",WAS vs. BKN,W,28,5,7,0.714,2,3,0.667,0,0,0.0,0,5,5,1,2,0,2,1,12,18,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500498,"Jan 04, 2026",WAS vs. MIN,L,27,3,11,0.273,1,5,0.2,6,6,1.0,0,3,3,3,1,0,2,3,13,-6,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500511,"Jan 06, 2026",WAS vs. ORL,W,22,2,7,0.286,0,4,0.0,2,2,1.0,0,2,2,5,2,0,2,4,6,16,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500518,"Jan 07, 2026",WAS @ PHI,L,28,8,13,0.615,2,6,0.333,2,2,1.0,1,4,5,3,1,0,3,2,20,-9,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500534,"Jan 09, 2026",WAS vs. NOP,L,25,3,7,0.429,2,5,0.4,4,4,1.0,0,1,1,2,3,0,2,4,12,-29,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500555,"Jan 11, 2026",WAS @ PHX,L,30,8,15,0.533,3,8,0.375,0,0,0.0,1,4,5,3,0,0,2,2,19,-16,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500577,"Jan 14, 2026",WAS @ LAC,L,27,4,10,0.4,2,6,0.333,0,0,0.0,0,2,2,3,1,0,2,4,10,4,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500592,"Jan 16, 2026",WAS @ SAC,L,30,7,17,0.412,4,8,0.5,0,0,0.0,0,2,2,4,1,1,1,0,18,-1,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500600,"Jan 17, 2026",WAS @ DEN,L,31,1,10,0.1,0,4,0.0,2,4,0.5,1,1,2,1,1,0,0,2,4,-8,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500608,"Jan 19, 2026",WAS vs. LAC,L,30,6,12,0.5,3,7,0.429,0,0,0.0,0,1,1,5,0,0,0,2,15,14,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500629,"Jan 22, 2026",WAS vs. DEN,L,34,7,14,0.5,3,7,0.429,2,2,1.0,2,1,3,3,0,1,2,2,19,-11,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500645,"Jan 24, 2026",WAS @ CHA,L,37,8,22,0.364,6,15,0.4,4,5,0.8,0,0,0,6,0,0,2,2,26,-2,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500664,"Jan 27, 2026",WAS vs. POR,W,32,7,13,0.538,3,5,0.6,1,1,1.0,2,2,4,2,0,1,0,2,18,4,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500681,"Jan 29, 2026",WAS vs. MIL,W,11,2,7,0.286,0,3,0.0,4,4,1.0,0,0,0,2,0,0,0,0,8,10,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500776,"Feb 11, 2026",WAS @ CLE,L,18,4,13,0.308,1,6,0.167,1,1,1.0,1,2,3,2,2,0,0,3,10,-6,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500795,"Feb 19, 2026",WAS vs. IND,W,19,4,12,0.333,0,4,0.0,2,2,1.0,2,4,6,2,0,0,0,1,10,0,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500803,"Feb 20, 2026",WAS vs. IND,W,19,6,11,0.545,1,3,0.333,1,1,1.0,0,1,1,1,1,1,0,0,14,3,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500822,"Feb 22, 2026",WAS vs. CHA,L,19,5,10,0.5,1,3,0.333,0,0,0.0,0,1,1,3,0,0,3,2,11,-21,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500832,"Feb 24, 2026",WAS @ ATL,L,24,3,12,0.25,0,5,0.0,2,2,1.0,0,1,1,2,0,0,2,1,8,-31,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500850,"Feb 26, 2026",WAS @ ATL,L,20,5,7,0.714,2,2,1.0,2,2,1.0,0,5,5,1,1,0,4,3,14,-9,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500865,"Feb 28, 2026",WAS vs. TOR,L,19,3,6,0.5,1,3,0.333,1,2,0.5,1,2,3,0,0,1,2,4,8,-7,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500879,"Mar 02, 2026",WAS vs. HOU,L,22,2,10,0.2,1,3,0.333,0,0,0.0,1,3,4,3,1,1,1,2,5,-5,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500885,"Mar 03, 2026",WAS @ ORL,L,24,3,12,0.25,0,4,0.0,3,4,0.75,0,0,0,1,0,1,3,3,9,-19,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500900,"Mar 05, 2026",WAS vs. UTA,L,20,5,13,0.385,5,9,0.556,0,0,0.0,1,7,8,2,1,0,3,2,15,2,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500925,"Mar 08, 2026",WAS @ NOP,L,22,7,13,0.538,4,7,0.571,2,2,1.0,1,3,4,1,0,0,1,2,20,-2,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500938,"Mar 10, 2026",WAS @ MIA,L,23,7,12,0.583,3,7,0.429,0,1,0.0,0,2,2,2,1,0,2,4,17,-14,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500955,"Mar 12, 2026",WAS @ ORL,L,23,1,11,0.091,1,6,0.167,0,0,0.0,0,5,5,1,0,1,3,2,3,-12,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500971,"Mar 14, 2026",WAS @ BOS,L,24,3,13,0.231,1,7,0.143,0,0,0.0,0,1,1,2,0,0,1,4,7,-23,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500984,"Mar 16, 2026",WAS vs. GSW,L,23,5,12,0.417,2,7,0.286,1,2,0.5,0,1,1,2,0,0,2,1,13,2,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022500993,"Mar 17, 2026",WAS vs. DET,L,24,3,12,0.25,1,4,0.25,4,4,1.0,0,4,4,1,0,0,2,4,11,-18,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022501009,"Mar 19, 2026",WAS vs. DET,L,24,5,11,0.455,2,6,0.333,0,0,0.0,1,0,1,2,0,0,1,2,12,-8,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022501073,"Mar 27, 2026",WAS @ GSW,L,22,5,11,0.455,1,5,0.2,0,0,0.0,0,1,1,0,0,0,1,2,11,-11,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022501098,"Mar 30, 2026",WAS @ LAL,L,23,5,12,0.417,1,6,0.167,0,0,0.0,0,6,6,2,2,0,1,4,11,-3,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022501105,"Apr 01, 2026",WAS vs. PHI,L,24,3,11,0.273,2,5,0.4,0,0,0.0,1,3,4,4,0,0,3,2,8,-23,1,2025-26,Regular Season,1642848,Tre Johnson
22025,1642848,0022501129,"Apr 04, 2026",WAS @ MIA,L,25,5,13,0.385,1,5,0.2,0,0,0.0,0,3,3,4,0,0,2,4,11,-17,1,2025-26,Regular Season,1642848,Tre Johnson
