SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1641998,0022300620,"Jan 24, 2024",WAS vs. MIN,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,3,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300628,"Jan 25, 2024",WAS vs. UTA,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300687,"Feb 01, 2024",MEM vs. CLE,L,14,2,2,1.0,0,0,0.0,1,1,1.0,1,2,3,0,1,1,0,2,5,4,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300706,"Feb 04, 2024",MEM @ BOS,L,23,2,5,0.4,0,0,0.0,2,2,1.0,2,3,5,0,0,2,3,3,6,-24,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300722,"Feb 06, 2024",MEM @ NYK,L,32,6,10,0.6,0,0,0.0,0,0,0.0,5,1,6,2,0,2,1,5,12,-16,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300737,"Feb 08, 2024",MEM vs. CHI,L,15,0,4,0.0,0,0,0.0,0,0,0.0,1,1,2,0,2,0,0,4,0,-3,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300751,"Feb 10, 2024",MEM @ CHA,L,14,0,0,0.0,0,0,0.0,1,2,0.5,2,1,3,2,0,1,0,1,1,-11,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300766,"Feb 12, 2024",MEM vs. NOP,L,18,3,4,0.75,0,0,0.0,0,0,0.0,0,5,5,1,1,3,2,4,6,12,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300790,"Feb 15, 2024",MEM vs. MIL,W,23,4,11,0.364,0,0,0.0,2,2,1.0,4,2,6,2,0,1,2,4,10,-10,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300861,"Mar 01, 2024",MEM vs. POR,L,30,2,3,0.667,0,0,0.0,1,2,0.5,2,4,6,1,0,0,1,5,5,-12,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300879,"Mar 04, 2024",MEM @ BKN,W,19,5,6,0.833,0,0,0.0,0,0,0.0,1,6,7,0,0,1,1,6,10,7,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300913,"Mar 08, 2024",MEM vs. ATL,L,16,2,3,0.667,0,0,0.0,1,2,0.5,0,2,2,0,1,0,1,2,5,7,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300931,"Mar 10, 2024",MEM @ OKC,L,21,1,3,0.333,0,0,0.0,0,0,0.0,2,2,4,2,0,0,1,0,2,-1,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300940,"Mar 12, 2024",MEM vs. WAS,W,31,11,13,0.846,0,0,0.0,2,2,1.0,5,1,6,0,0,2,3,4,24,7,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300950,"Mar 13, 2024",MEM vs. CHA,L,32,6,8,0.75,0,0,0.0,2,2,1.0,5,1,6,1,1,2,3,3,14,-2,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022300989,"Mar 18, 2024",MEM @ SAC,L,13,0,1,0.0,0,0,0.0,0,0,0.0,4,1,5,2,0,0,0,2,0,-8,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301001,"Mar 20, 2024",MEM @ GSW,L,25,2,5,0.4,0,0,0.0,0,0,0.0,1,3,4,2,0,0,1,2,4,4,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301040,"Mar 25, 2024",MEM @ DEN,L,22,3,5,0.6,0,0,0.0,2,2,1.0,3,2,5,1,1,1,2,1,8,-3,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301107,"Apr 03, 2024",MEM @ MIL,W,19,3,7,0.429,0,0,0.0,1,2,0.5,2,2,4,0,0,2,0,0,7,-19,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301121,"Apr 05, 2024",MEM vs. DET,W,31,7,9,0.778,0,0,0.0,3,3,1.0,8,5,13,1,1,3,4,4,17,-2,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301129,"Apr 06, 2024",MEM vs. PHI,L,33,2,6,0.333,0,0,0.0,1,1,1.0,4,3,7,2,0,0,3,2,5,-17,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301151,"Apr 09, 2024",MEM vs. SAS,L,30,6,14,0.429,0,0,0.0,2,2,1.0,5,4,9,2,1,1,1,3,14,-4,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301158,"Apr 10, 2024",MEM @ CLE,L,36,2,7,0.286,0,0,0.0,0,0,0.0,2,7,9,3,1,4,1,2,4,-17,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301177,"Apr 12, 2024",MEM vs. LAL,L,35,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,0,0,1,1,6,6,8,1,2023-24,Regular Season,1641998,Trey Jemison III
22023,1641998,0022301193,"Apr 14, 2024",MEM vs. DEN,L,38,3,6,0.5,0,0,0.0,0,0,0.0,3,8,11,3,2,1,2,4,6,-13,1,2023-24,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400126,"Oct 30, 2024",NOP @ GSW,L,1,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,0,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400152,"Nov 03, 2024",NOP vs. ATL,L,4,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,4,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400164,"Nov 04, 2024",NOP vs. POR,L,2,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,0,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400186,"Nov 08, 2024",NOP @ ORL,L,13,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,5,0,10,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400214,"Nov 11, 2024",NOP vs. BKN,L,9,1,2,0.5,0,0,0.0,0,0,0.0,3,1,4,1,1,1,0,1,2,2,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400221,"Nov 13, 2024",NOP @ OKC,L,18,2,3,0.667,0,0,0.0,2,4,0.5,4,4,8,2,0,2,3,3,6,0,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400017,"Nov 15, 2024",NOP vs. DEN,W,15,2,3,0.667,0,0,0.0,2,2,1.0,2,1,3,1,0,1,1,4,6,5,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400231,"Nov 16, 2024",NOP vs. LAL,L,19,3,4,0.75,0,0,0.0,2,2,1.0,0,2,2,0,1,0,0,3,8,-3,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400024,"Nov 19, 2024",NOP @ DAL,L,17,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,2,0,2,2,2,-14,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400252,"Nov 20, 2024",NOP @ CLE,L,15,0,3,0.0,0,0,0.0,0,2,0.0,1,1,2,1,1,1,0,0,0,-6,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400032,"Nov 22, 2024",NOP vs. GSW,L,12,1,1,1.0,0,0,0.0,0,1,0.0,1,3,4,0,1,0,0,2,2,-7,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400295,"Nov 27, 2024",NOP vs. TOR,L,6,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,2,4,2,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400308,"Dec 01, 2024",NOP @ NYK,L,15,0,2,0.0,0,0,0.0,0,2,0.0,0,3,3,0,0,1,0,2,0,-7,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400354,"Dec 08, 2024",NOP @ SAS,L,3,0,1,0.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,0,0,0,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022401207,"Dec 12, 2024",NOP vs. SAC,L,3,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,1,0,0,0,1,-1,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400365,"Dec 19, 2024",NOP @ HOU,L,15,1,3,0.333,0,0,0.0,1,4,0.25,5,1,6,2,0,0,0,3,3,-3,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400585,"Jan 17, 2025",LAL vs. BKN,W,15,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,2,1,4,0,-6,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400610,"Jan 21, 2025",LAL vs. WAS,W,2,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,0,1,4,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400674,"Jan 30, 2025",LAL @ WAS,W,18,2,6,0.333,0,0,0.0,0,0,0.0,1,4,5,1,0,2,2,6,4,12,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400692,"Feb 01, 2025",LAL @ NYK,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400715,"Feb 04, 2025",LAL @ LAC,W,5,1,1,1.0,0,0,0.0,0,2,0.0,1,3,4,0,1,0,0,0,2,-1,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400742,"Feb 08, 2025",LAL vs. IND,W,12,4,5,0.8,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,3,8,-7,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400768,"Feb 10, 2025",LAL vs. UTA,W,7,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,3,2,-11,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400796,"Feb 20, 2025",LAL @ POR,W,14,3,5,0.6,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,2,6,6,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400808,"Feb 22, 2025",LAL @ DEN,W,3,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,2,1,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400859,"Feb 28, 2025",LAL vs. LAC,W,22,2,3,0.667,0,0,0.0,1,2,0.5,1,5,6,0,0,1,0,2,5,19,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400874,"Mar 02, 2025",LAL vs. LAC,W,18,1,2,0.5,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,5,3,-2,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400890,"Mar 04, 2025",LAL vs. NOP,W,17,2,2,1.0,0,0,0.0,0,0,0.0,3,2,5,2,0,0,0,2,4,7,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400903,"Mar 06, 2025",LAL vs. NYK,W,13,3,4,0.75,0,0,0.0,1,2,0.5,1,3,4,0,0,0,2,4,7,-2,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400918,"Mar 08, 2025",LAL @ BOS,L,6,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,5,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400930,"Mar 10, 2025",LAL @ BKN,L,18,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,0,0,2,1,4,2,1,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022400996,"Mar 20, 2025",LAL vs. MIL,L,16,2,3,0.667,0,0,0.0,0,0,0.0,2,3,5,0,0,0,1,1,4,-19,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022401038,"Mar 24, 2025",LAL @ ORL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022401126,"Apr 04, 2025",LAL vs. NOP,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,1,0,-2,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022401153,"Apr 08, 2025",LAL @ OKC,L,2,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,1,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022401159,"Apr 09, 2025",LAL @ DAL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022401185,"Apr 11, 2025",LAL vs. HOU,W,4,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,2,8,1,2024-25,Regular Season,1641998,Trey Jemison III
22024,1641998,0022401199,"Apr 13, 2025",LAL @ POR,L,25,1,2,0.5,0,0,0.0,1,2,0.5,4,4,8,1,0,1,5,4,3,-13,1,2024-25,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500003,"Oct 22, 2025",NYK vs. CLE,W,8,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,3,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500285,"Nov 24, 2025",NYK @ BKN,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-5,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500328,"Dec 03, 2025",NYK vs. CHA,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500372,"Dec 18, 2025",NYK @ IND,W,18,2,2,1.0,0,0,0.0,1,1,1.0,3,2,5,1,0,1,2,2,5,1,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500454,"Dec 29, 2025",NYK @ NOP,W,4,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,0,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500479,"Jan 02, 2026",NYK vs. ATL,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,0,-7,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500708,"Feb 01, 2026",NYK vs. LAL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-1,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500718,"Feb 03, 2026",NYK @ WAS,W,9,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,0,-6,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500742,"Feb 06, 2026",NYK @ DET,L,6,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,2,-2,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500757,"Feb 08, 2026",NYK @ BOS,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022500860,"Feb 27, 2026",NYK @ MIL,W,4,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,2,0,0,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022501176,"Apr 10, 2026",NYK vs. TOR,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,1,2025-26,Regular Season,1641998,Trey Jemison III
22025,1641998,0022501190,"Apr 12, 2026",NYK vs. CHA,L,18,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,2,0,0,3,2,4,-15,1,2025-26,Regular Season,1641998,Trey Jemison III
