SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22020,1630178,0022000979,"May 03, 2021",PHI @ CHI,W,2,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000994,"May 05, 2021",PHI @ HOU,W,22,4,9,0.444,2,4,0.5,2,2,1.0,1,3,4,7,0,0,3,0,12,4,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022001013,"May 08, 2021",PHI vs. DET,W,35,7,11,0.636,2,3,0.667,6,7,0.857,0,5,5,4,2,1,1,2,22,25,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022001035,"May 11, 2021",PHI @ IND,L,17,4,9,0.444,0,1,0.0,3,4,0.75,1,1,2,3,1,2,1,2,11,-1,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022001050,"May 13, 2021",PHI @ MIA,L,17,3,8,0.375,0,2,0.0,0,0,0.0,0,0,0,4,1,0,1,2,6,7,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022001055,"May 14, 2021",PHI vs. ORL,W,23,3,9,0.333,0,1,0.0,2,2,1.0,0,5,5,6,2,0,0,4,8,11,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022001075,"May 16, 2021",PHI vs. ORL,W,35,11,19,0.579,3,4,0.75,5,5,1.0,0,7,7,6,1,1,1,4,30,16,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000949,"Apr 30, 2021",PHI vs. ATL,W,6,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-2,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000934,"Apr 28, 2021",PHI vs. ATL,W,14,5,6,0.833,1,2,0.5,0,0,0.0,0,2,2,2,0,0,0,1,11,16,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000918,"Apr 26, 2021",PHI vs. OKC,W,12,5,5,1.0,1,1,1.0,0,0,0.0,0,1,1,4,0,0,1,2,11,4,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000905,"Apr 24, 2021",PHI @ MIL,L,21,5,13,0.385,0,5,0.0,5,6,0.833,0,2,2,0,0,1,1,1,15,-14,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000894,"Apr 22, 2021",PHI @ MIL,L,19,4,11,0.364,2,4,0.5,1,2,0.5,0,0,0,5,1,0,2,4,11,6,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000883,"Apr 21, 2021",PHI vs. PHX,L,31,5,11,0.455,0,3,0.0,4,4,1.0,0,3,3,3,2,1,1,2,14,4,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000870,"Apr 19, 2021",PHI vs. GSW,L,16,5,9,0.556,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,10,-9,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000846,"Apr 16, 2021",PHI vs. LAC,W,16,4,7,0.571,1,2,0.5,0,0,0.0,0,1,1,3,0,0,1,0,9,-2,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000818,"Apr 12, 2021",PHI @ DAL,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,3,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000199,"Apr 10, 2021",PHI @ OKC,W,20,2,8,0.25,0,2,0.0,3,3,1.0,0,0,0,5,1,0,1,3,7,4,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000795,"Apr 09, 2021",PHI @ NOP,L,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000771,"Apr 06, 2021",PHI @ BOS,W,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000731,"Apr 01, 2021",PHI @ CLE,W,22,2,8,0.25,0,3,0.0,2,2,1.0,0,2,2,4,0,1,2,1,6,11,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000719,"Mar 30, 2021",PHI @ DEN,L,16,4,9,0.444,1,3,0.333,4,4,1.0,0,2,2,1,0,0,0,1,13,15,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000701,"Mar 27, 2021",PHI @ LAC,L,8,1,3,0.333,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,0,4,5,1,2020-21,1630178,Tyrese Maxey
22020,1630178,0022000681,"Mar 25, 2021",PHI @ LAL,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1,2020-21,1630178,Tyrese Maxey
